Dataset,Classifier,Oversampling method,Metric,Mean CV score
breast_tissue,GradientBoostingClassifier,ADASYN,f1 score,0.6167360562143169
breast_tissue,GradientBoostingClassifier,ADASYN,geometric mean score,0.6998143105719989
breast_tissue,GradientBoostingClassifier,ADASYN,roc auc score,0.8367451690821255
breast_tissue,GradientBoostingClassifier,None,f1 score,0.6279025549613785
breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.7017324423144201
breast_tissue,GradientBoostingClassifier,None,roc auc score,0.840630032206119
breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6523809523809524
breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7263116036001829
breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8419031803542673
breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.6475308641975309
breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.7277674075696772
breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.7929247181964573
breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.6527120029728726
breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7300245386549198
breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.8356179549114332
breast_tissue,LogisticRegression,ADASYN,f1 score,0.7664957264957265
breast_tissue,LogisticRegression,ADASYN,geometric mean score,0.8270883712541405
breast_tissue,LogisticRegression,ADASYN,roc auc score,0.8886070853462158
breast_tissue,LogisticRegression,None,f1 score,0.7509090909090909
breast_tissue,LogisticRegression,None,geometric mean score,0.7790279788442322
breast_tissue,LogisticRegression,None,roc auc score,0.8960849436392916
breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.7106354515050166
breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.7743987469164367
breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.8944142512077295
breast_tissue,LogisticRegression,SMOTE,f1 score,0.6993406593406594
breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.7789090178263174
breast_tissue,LogisticRegression,SMOTE,roc auc score,0.8876308373590982
breast_tissue,LogisticRegression,SMOTE2,f1 score,0.7217338217338217
breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.7849581843968358
breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.8835950080515298
breast_tissue2,GradientBoostingClassifier,ADASYN,f1 score,0.268013468013468
breast_tissue2,GradientBoostingClassifier,ADASYN,geometric mean score,0.4568971679756803
breast_tissue2,GradientBoostingClassifier,ADASYN,roc auc score,0.6928341384863123
breast_tissue2,GradientBoostingClassifier,None,f1 score,0.2916666666666667
breast_tissue2,GradientBoostingClassifier,None,geometric mean score,0.46289838543822015
breast_tissue2,GradientBoostingClassifier,None,roc auc score,0.7346014492753623
breast_tissue2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.30026455026455023
breast_tissue2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.47189530896961845
breast_tissue2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.640901771336554
breast_tissue2,GradientBoostingClassifier,SMOTE,f1 score,0.31672113289760345
breast_tissue2,GradientBoostingClassifier,SMOTE,geometric mean score,0.5187513417449373
breast_tissue2,GradientBoostingClassifier,SMOTE,roc auc score,0.6208735909822867
breast_tissue2,GradientBoostingClassifier,SMOTE2,f1 score,0.37671957671957673
breast_tissue2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.5575261538158696
breast_tissue2,GradientBoostingClassifier,SMOTE2,roc auc score,0.726046698872786
breast_tissue2,LogisticRegression,ADASYN,f1 score,0.5754985754985755
breast_tissue2,LogisticRegression,ADASYN,geometric mean score,0.7568547262511027
breast_tissue2,LogisticRegression,ADASYN,roc auc score,0.8534621578099838
breast_tissue2,LogisticRegression,None,f1 score,0.3473389355742296
breast_tissue2,LogisticRegression,None,geometric mean score,0.49916726851157495
breast_tissue2,LogisticRegression,None,roc auc score,0.8178341384863124
breast_tissue2,LogisticRegression,RandomOverSampler,f1 score,0.5540655423008364
breast_tissue2,LogisticRegression,RandomOverSampler,geometric mean score,0.7077186382053109
breast_tissue2,LogisticRegression,RandomOverSampler,roc auc score,0.8281602254428341
breast_tissue2,LogisticRegression,SMOTE,f1 score,0.5676852559205502
breast_tissue2,LogisticRegression,SMOTE,geometric mean score,0.7322708858853104
breast_tissue2,LogisticRegression,SMOTE,roc auc score,0.8289653784219002
breast_tissue2,LogisticRegression,SMOTE2,f1 score,0.5743519225872168
breast_tissue2,LogisticRegression,SMOTE2,geometric mean score,0.7391928432072745
breast_tissue2,LogisticRegression,SMOTE2,roc auc score,0.8254830917874395
breast_tissue4,GradientBoostingClassifier,ADASYN,f1 score,0.6481481481481481
breast_tissue4,GradientBoostingClassifier,ADASYN,geometric mean score,0.7731528359036357
breast_tissue4,GradientBoostingClassifier,ADASYN,roc auc score,0.826086956521739
breast_tissue4,GradientBoostingClassifier,None,f1 score,0.3571428571428572
breast_tissue4,GradientBoostingClassifier,None,geometric mean score,0.4525132555983732
breast_tissue4,GradientBoostingClassifier,None,roc auc score,0.8433977455716587
breast_tissue4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.1904761904761905
breast_tissue4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.260063165868498
