Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
LR,AUC,0.90 $\pm$ 0.01,0.90 $\pm$ 0.01,0.90 $\pm$ 0.01,0.90 $\pm$ 0.01
LR,F-SCORE,0.44 $\pm$ 0.05,0.58 $\pm$ 0.03,0.59 $\pm$ 0.03,0.63 $\pm$ 0.03
LR,G-MEAN,0.50 $\pm$ 0.05,0.84 $\pm$ 0.02,0.84 $\pm$ 0.02,0.83 $\pm$ 0.02
KNN,AUC,0.82 $\pm$ 0.02,0.82 $\pm$ 0.02,0.84 $\pm$ 0.02,0.85 $\pm$ 0.02
KNN,F-SCORE,0.53 $\pm$ 0.04,0.58 $\pm$ 0.03,0.59 $\pm$ 0.03,0.62 $\pm$ 0.03
KNN,G-MEAN,0.62 $\pm$ 0.03,0.76 $\pm$ 0.02,0.78 $\pm$ 0.02,0.76 $\pm$ 0.02
DT,AUC,0.84 $\pm$ 0.01,0.85 $\pm$ 0.01,0.86 $\pm$ 0.01,0.88 $\pm$ 0.01
DT,F-SCORE,0.62 $\pm$ 0.03,0.63 $\pm$ 0.03,0.64 $\pm$ 0.03,0.69 $\pm$ 0.03
DT,G-MEAN,0.74 $\pm$ 0.02,0.82 $\pm$ 0.01,0.83 $\pm$ 0.01,0.84 $\pm$ 0.02
GBC,AUC,0.90 $\pm$ 0.01,0.90 $\pm$ 0.01,0.91 $\pm$ 0.01,0.92 $\pm$ 0.01
GBC,F-SCORE,0.65 $\pm$ 0.03,0.67 $\pm$ 0.03,0.69 $\pm$ 0.03,0.72 $\pm$ 0.03
GBC,G-MEAN,0.74 $\pm$ 0.02,0.79 $\pm$ 0.02,0.82 $\pm$ 0.02,0.83 $\pm$ 0.02
