Labels,A,B,C,D,E,F,G,H,UA,Total
A,20.31995277449823,13.984061393152302,11.649940968122786,2.33530106257379,11.31050767414404,3.6605667060212514,0.0,0.33116883116883117,0.339774621529452,63.59149940968123
,15.884691066509248,13.341204250295158,11.336678473042108,3.227272727272727,6.7825659189295555,2.777449822904368,0.0,0.33412042502951594,0.3337606012026511,53.683982683982684
B,15.35064935064935,55.69067296340024,33.01534828807556,26.681818181818183,34.69775678866588,4.0041322314049586,1.6706021251475798,0.33530106257378983,0.32695517166701155,171.44628099173553
,8.20857929948839,32.058244785517516,13.28689492325856,11.077725304998031,21.17512790240063,1.7746950019677292,0.33195592286501374,0.0,0.39666192161096325,87.91322314049587
C,7.667060212514758,18.65466351829988,189.61629279811098,44.96280991735537,13.988193624557262,2.997638724911452,1.0,0.6688311688311689,0.6795744588026439,279.5554899645809
,4.0029515938606846,5.990358126721763,149.61353797717433,25.211334120425033,3.110586383313656,1.4441164895710348,0.8900039354584809,0.0,0.7903086319086947,190.26288862652498
D,0.33116883116883117,1.6706021251475798,19.387249114521843,24.688902007083826,1.6723730814639906,1.6729634002361273,0.6646989374262101,0.0,0.5166362563056778,50.0879574970484
,4.893742621015348,11.343959071231799,50.51672569854387,43.68339236521055,7.770956316410863,2.562180243998426,1.222353404171586,0.5574576938213301,0.36592523570212165,122.55076741440378
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,5.128099173553719,20.49350649350649,11.367768595041321,8.35655253837072,17.482290436835893,1.444706808343172,0.44647776465958283,0.0,0.2505170481326046,64.7194018103109
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,4.4437229437229435,4.224714679260134,10.221566312475403,5.000787091696183,3.6776859504132235,1.7778433687524595,0.11038961038961038,0.3333333333333333,0.07262856550076575,29.79004329004329
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.8854781582054309,1.4425423061786697,5.662140889413617,1.7782369146005508,1.2237308146399055,0.4439197166469893,0.33412042502951594,0.11038961038961038,0.03342680047225502,11.88055883510429
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.22156631247540337,1.1054702872884692,1.6635182998819362,0.333530106257379,0.44588744588744583,0.11038961038961038,0.0,0.0,0.0,3.8803620621802435
PA,0.4656679088737516,0.6187852551488915,0.7475824415228728,0.25016793236560486,0.0,0.0,0.0,0.0,,
,0.363641251758684,0.3562027198390835,0.589873119525169,0.44269139685736075,0.2827896948011365,0.14457133775315592,0.10205955660501115,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
