Labels,A,B,C,D,E,F,G,H,UA,Total
A,18.890594254230617,9.340613931523023,8.993309720582447,3.221763085399449,5.5511609602518694,2.8841007477371114,0.2235340417158599,0.666469893742621,0.38966410243242455,49.77154663518299
B,8.213301849665486,43.011019283746556,14.660960251869342,7.21172766627312,18.76839826839827,1.560802833530106,0.666469893742621,0.222353404171586,0.4578738403936245,94.31503345139708
C,7.558048012593467,10.883313656040931,188.6519086973632,33.108421881149155,6.450019677292405,3.1094057457693824,0.8900039354584809,0.0,0.7524717224907272,250.65112160566704
D,3.108421881149154,7.666666666666667,29.919323101141288,45.24124360487997,9.440181031090122,2.452184179456907,0.88823297914207,0.2235340417158599,0.4572451652613972,98.93978748524204
E,4.0090515545061,17.09897678079496,6.439984258166075,7.333726879181424,19.677095631641084,0.8852813852813853,0.667060212514758,0.111176702085793,0.35481845208937646,56.22235340417158
F,1.5558835104289648,1.3347107438016528,4.1162927981109805,1.9984258166076347,1.6702085792994883,1.443526170798898,0.0,0.11176702085792994,0.13204038189280218,12.230814639905551
G,0.0,0.6646989374262101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6646989374262101
H,0.333530106257379,0.0,0.8870523415977961,0.5535222353404171,0.11176702085792994,0.0,0.0,0.0,0.0,1.8858717040535222
PA,0.43248234243813716,0.4779002142638506,0.7437324017573621,0.45845002401757334,0.3188611062030609,0.1167115712570258,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
