Labels,A,B,C,D,E,F,G,H,UA,Total
A,14.664698937426211,7.997048406139316,5.6546635182998815,1.3335301062573788,5.9899645808736715,1.6711924439197166,0.0,0.666469893742621,0.4005986602330476,37.9775678866588
,15.88823297914207,9.892955529319165,9.440574576938213,2.220188902007084,8.770562770562771,3.2182211727666274,0.11038961038961038,0.666469893742621,0.3233636527422747,50.20759543486816
B,8.991145218417946,38.6741440377804,11.664698937426211,9.331168831168831,19.677095631641087,1.6623376623376622,0.33530106257378983,0.0,0.42786230401060205,90.33589138134592
,7.991932310114129,34.451593860684774,12.44883903974813,9.327823691460056,19.115702479338843,1.1103896103896105,0.33392365210547026,0.0,0.4068561961206323,84.780204643841
C,15.675324675324676,27.329397874852422,219.6629279811098,55.663518299881936,16.999409681227863,5.32939787485242,2.3376623376623376,0.6688311688311689,0.6391599408456484,343.66646989374266
,11.34081070444707,19.325462416371508,198.30598189689098,45.561786698150335,12.662140889413616,3.10724124360488,2.3376623376623376,0.333530106257379,0.677099050323693,292.97461629279815
D,1.9976387249114522,8.009445100354192,12.684769775678866,31.011806375442735,7.996458087367178,2.33530106257379,0.33116883116883117,0.0,0.4832974565117422,64.36658795749705
,2.1117670208579296,9.889216843762298,23.138331365604092,34.67001180637544,7.6648957103502555,2.7847304210940576,0.33116883116883117,0.33530106257378983,0.43091620347397414,80.9254230617867
E,2.0047225501770956,7.658795749704841,3.001770956316411,1.3288075560802834,10.67060212514758,1.0059031877213696,0.33116883116883117,0.0,0.409807364352819,26.00177095631641
,4.1147186147186146,13.99547422274695,5.996851633215269,5.44706808343172,11.673160173160175,1.2247146792601338,0.22215663124754034,0.0,0.27882332503891477,42.6741440377804
F,0.33530106257378983,0.33116883116883117,1.0,0.0,0.33530106257378983,0.33116883116883117,0.0,0.0,0.11038961038961038,2.332939787485242
,1.9990161353797717,2.3349075167256985,4.004919323101141,1.441951987406533,1.7823691460055098,0.8900039354584809,0.0,0.0,0.07807154966245876,12.453168044077136
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.11038961038961038,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4437229437229437
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.222353404171586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222353404171586
PA,0.3359141579158877,0.4297127115308934,0.8659638889012391,0.31424045773008497,0.1729821306043603,0.027597402597402596,0.0,0.0,,
,0.3637217497730663,0.3827954873409419,0.7818024049545009,0.3514309662901331,0.18921079801566318,0.07058471831199103,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
