Labels,A,B,C,D,E,F,G,H,UA,Total
A,13.671192443919717,3.3353010625737896,4.8884297520661155,1.3335301062573788,4.104683195592287,2.000590318772137,0.0,0.33116883116883117,0.46584638305417525,29.664895710350255
B,9.220582447855174,36.99881936245573,9.99586776859504,8.204447068083432,16.32998819362456,2.3370720188902006,0.33530106257378983,0.6688311688311689,0.44611093628039583,84.0909090909091
C,11.455332546241637,23.89492325855962,212.7784336875246,41.333136560409294,13.56198347107438,3.3376623376623376,2.0,0.0,0.6904415654926336,308.3614718614719
D,1.6729634002361273,8.997048406139315,17.566312475403382,42.68831168831169,8.016528925619834,1.6729634002361273,0.33530106257378983,0.0,0.5307104558836779,80.94942935852026
E,3.9940968122786304,13.33353010625738,2.999409681227863,3.775482093663912,16.660960251869344,1.6582054309327037,0.6646989374262101,0.0,0.38859240448814636,43.086383313656036
F,2.3252656434474614,2.439787485242031,1.9958677685950412,0.333530106257379,1.001180637544274,0.0,0.0,0.0,0.0,8.095631641086186
G,0.9982290436835891,0.667060212514758,2.779811097992916,1.0003935458480913,1.9935064935064934,0.9976387249114523,0.0,0.33530106257378983,0.0,8.77194018103109
H,0.33116883116883117,0.333530106257379,0.6646989374262101,0.0,0.0,0.33116883116883117,0.0,0.0,0.0,1.6605667060212514
PA,0.3128093557413181,0.4110979929161747,0.8388217889400548,0.43252629662648223,0.2703305139966839,0.0,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
