Labels,A,B,C,D,E,F,G,H,UA,Total
A,15.66961826052735,4.780794962613144,4.987406532861079,1.5554899645808735,3.107831562377017,2.8841007477371114,0.0,0.33116883116883117,0.4805084873266692,33.31641086186541
,20.007477371113737,8.787682014954742,8.663321526957892,2.7790240062967335,5.997638724911453,3.4362455726092094,0.0,0.5560802833530106,0.4122127404942317,50.227469500196776
B,11.218024399842582,49.66646989374262,15.339236521054703,10.542699724517908,22.111963793781978,2.225304998032271,0.5560802833530106,0.222353404171586,0.4443685800282095,111.88213301849665
,8.876229830775285,44.44529712711531,13.990751672569855,9.984848484848484,17.224124360487995,1.6719795356158993,0.33254624163715074,0.222353404171586,0.4619233351867867,96.74813065722157
C,12.44746162927981,18.00669027941755,211.55391578118852,46.00334513970878,10.557260920897285,3.9960645415190874,1.332939787485242,0.5582447855175128,0.6951117784665429,304.45592286501375
,5.445493900039355,9.878394332939786,187.76623376623377,30.660173160173162,5.560015741833923,2.221369539551358,0.8900039354584809,0.0,0.7745167961917939,242.42168437622982
D,1.7758756395120032,7.3323494687131054,17.68870523415978,37.78295946477764,8.994883903974813,2.453561589925226,0.8898071625344351,0.2235340417158599,0.49163137055964184,77.14167650531287
,3.9974419519874065,8.230027548209366,31.48012593467139,44.7918142463597,9.324281778827235,2.1186540731995276,1.2237308146399055,0.11176702085792994,0.44481109750976744,101.27784336875247
E,2.447461629279811,10.213695395513577,3.767611176702086,2.784336875245966,16.896890987800077,0.6645021645021645,0.5564738292011019,0.0,0.4620552400820675,37.33097205824478
,2.898661944116489,16.10350255804801,5.3292011019283745,7.452774498229044,21.445493900039352,0.663715072805982,0.7786304604486421,0.0,0.3933031101233468,54.6719795356159
F,0.11038961038961038,0.0,0.33195592286501374,0.0,0.0,0.11176702085792994,0.0,0.0,0.11176702085792994,0.5541125541125541
,1.6646989374262102,1.559228650137741,4.552144824872097,2.6674537583628495,1.3376623376623378,1.669815033451397,0.11038961038961038,0.33471074380165283,0.12666121425092716,13.896103896103895
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.333530106257379,0.5543093270365997,0.7792207792207791,0.11038961038961038,0.4443132624950807,0.222353404171586,0.0,0.0,0.0,2.444116489571035
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.44529712711530894,0.44155844155844154,1.1078315623770167,0.222353404171586,0.33530106257378983,0.33116883116883117,0.0,0.11038961038961038,0.027597402597402596,2.993900039354585
PA,0.35869488798087684,0.5518496654860291,0.8339939810793503,0.3829431501888915,0.2738731550327147,0.00859746314291769,0.0,0.0,,
,0.45792439510006294,0.4938366347457257,0.7402334679419115,0.4538761994488087,0.3477922931194408,0.13270315543042818,0.0,0.11038961038961038,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
