,,True Condition,True Condition,True Condition,True Condition,True Condition,True Condition,True Condition,True Condition,True Condition,True Condition
,,A,B,C,D,E,F,G,H,Total,UA
Predicted Condition,A,15,4,5,0,2,3,0,0,29,0.52
Predicted Condition,,20,6,10,0,1,3,0,1,41,0.49
Predicted Condition,B,15,49,14,11,16,2,2,0,109,0.45
Predicted Condition,,15,43,15,12,11,2,2,0,100,0.43
Predicted Condition,C,11,20,204,45,17,3,0,2,302,0.68
Predicted Condition,,4,13,186,31,11,3,0,1,249,0.75
Predicted Condition,D,3,2,18,44,9,3,2,0,81,0.54
Predicted Condition,,4,7,27,48,13,2,0,0,101,0.48
Predicted Condition,E,4,6,3,2,21,2,1,0,39,0.54
Predicted Condition,,4,11,5,5,28,3,1,0,57,0.49
Predicted Condition,F,0,0,0,0,0,0,0,0,0,0.00
Predicted Condition,,0,0,1,6,1,0,1,0,9,0.00
Predicted Condition,G,0,0,0,0,0,0,0,0,0,0.00
Predicted Condition,,0,1,0,0,0,0,1,0,2,0.50
Predicted Condition,H,0,0,0,0,0,0,0,0,0,0.00
Predicted Condition,,1,0,0,0,0,0,0,0,1,0.00
Predicted Condition,PA,0.31,0.60,0.84,0.43,0.32,0.00,0.00,0.00,,
Predicted Condition,,0.42,0.53,0.76,0.47,0.43,0.00,0.20,0.00,,
Predicted Condition,Total,48,81,244,102,65,13,5,2,560,
