Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,ADASYN,G-SMOTE
LR,G-MEAN MACRO,0.51,0.53,0.52,0.53,0.52,0.57
LR,F-SCORE MACRO,0.30,0.29,0.29,0.30,0.28,0.31
LR,ACCURACY,0.57,0.50,0.50,0.53,0.48,0.51
KNN,G-MEAN MACRO,0.50,0.48,0.49,0.50,0.48,0.50
KNN,F-SCORE MACRO,0.27,0.24,0.25,0.26,0.24,0.28
KNN,ACCURACY,0.56,0.45,0.43,0.49,0.42,0.56
DT,G-MEAN MACRO,0.49,0.48,0.49,0.51,0.49,0.52
DT,F-SCORE MACRO,0.24,0.24,0.25,0.27,0.25,0.27
DT,ACCURACY,0.51,0.43,0.42,0.47,0.42,0.48
GBC,G-MEAN MACRO,0.53,0.54,0.54,0.55,0.54,0.56
GBC,F-SCORE MACRO,0.31,0.31,0.31,0.31,0.31,0.33
GBC,ACCURACY,0.58,0.56,0.56,0.57,0.55,0.57
RF,G-MEAN MACRO,0.53,0.54,0.55,0.55,0.54,0.57
RF,F-SCORE MACRO,0.31,0.31,0.32,0.31,0.31,0.34
RF,ACCURACY,0.59,0.58,0.56,0.57,0.55,0.58
