0,1,2,3,4,5,6,7,8
18.45,9.96,40.0,4.0,3.0,3.5,4.0,3.5,0
13.15,9.65,90.0,4.5,4.0,3.5,3.5,3.0,1
10.32,6.5,50.0,2.3,2.5,3.0,3.5,3.0,0
14.8,9.48,70.0,3.7,3.0,3.3,4.0,3.5,0
14.5,10.78,90.0,4.0,2.7,3.3,3.0,3.0,0
17.01,12.28,70.0,5.0,4.0,5.0,4.0,4.5,1
13.93,9.77,80.0,4.0,2.0,3.0,3.0,3.0,0
19.05,11.26,100.0,5.0,4.5,3.5,4.0,2.0,1
7.62,6.59,80.0,2.5,2.5,3.3,3.5,3.5,0
14.75,9.13,50.0,4.0,4.0,3.3,3.0,3.0,0
8.15,6.72,70.0,1.5,3.0,3.0,3.0,3.0,0
15.07,7.17,10.0,4.0,4.0,3.3,3.0,2.0,0
8.99,6.05,60.0,2.5,3.0,3.0,4.0,4.0,0
13.13,6.08,80.0,3.5,4.0,4.0,3.5,3.5,1
10.78,8.93,100.0,3.0,2.0,3.0,3.0,3.0,0
13.08,9.79,90.0,5.0,4.5,5.0,4.0,4.0,1
10.22,8.32,100.0,3.0,1.8,3.0,3.0,3.0,0
18.71,10.9,100.0,4.0,4.0,3.3,4.0,3.0,1
8.23,6.5,70.0,2.0,2.0,3.3,4.0,3.5,0
17.52,9.22,60.0,4.0,3.0,3.0,3.0,2.0,0
10.75,5.91,50.0,2.7,4.0,3.3,3.5,3.0,0
21.52,8.77,20.0,4.0,3.5,3.0,3.0,1.0,0
15.22,6.5,30.0,3.0,4.0,3.0,3.0,3.0,0
9.73,8.67,70.0,2.7,4.0,3.5,3.5,3.5,0
17.15,8.22,60.0,5.0,2.7,3.5,3.0,2.0,0
16.13,9.95,50.0,4.3,4.5,3.3,3.5,3.0,0
8.78,5.79,50.0,2.5,2.0,3.2,3.3,3.0,0
17.18,9.99,90.0,4.3,4.5,3.5,4.0,3.3,0
12.39,5.55,80.0,3.0,2.5,2.0,2.0,2.0,0
