0,1,2,3,4,5,6,7,8,9,10
8.0,5.0,40.0,0.625,0.45,1.0,3.0,18.0,40.0,6.0,0
9.0,19.0,171.0,2.1109999999999998,0.292,0.76,2.63,50.0,130.0,19.0,0
6.0,18.0,108.0,3.0,0.34299999999999997,0.9259999999999999,1.76,37.0,100.0,21.0,0
7.0,21.0,147.0,3.0,0.33299999999999996,0.789,1.4,49.0,116.0,35.0,0
10.0,30.0,300.0,3.0,0.3,0.73,2.14,90.0,219.0,42.0,0
10.0,271.0,2710.0,27.1,0.187,0.602,1.35,508.0,1632.0,375.0,0
13.0,37.0,481.0,2.846,0.322,0.992,3.52,155.0,477.0,44.0,0
4.0,7.0,28.0,1.75,0.28600000000000003,0.5710000000000001,8.0,8.0,16.0,1.0,0
6.0,26.0,156.0,4.333,0.519,0.955,2.25,81.0,149.0,36.0,0
9.0,135.0,1215.0,15.0,0.249,0.626,1.56,302.0,761.0,193.0,0
9.0,78.0,702.0,8.667,0.349,0.863,2.17,245.0,606.0,113.0,0
10.0,155.0,1550.0,15.5,0.275,0.8029999999999999,1.85,427.0,1244.0,231.0,0
8.0,131.0,1048.0,16.375,0.24600000000000002,0.7959999999999999,1.46,258.0,834.0,177.0,0
7.0,46.0,322.0,6.571000000000001,0.354,1.0,1.46,114.0,322.0,78.0,0
7.0,31.0,217.0,4.428999999999999,0.281,0.682,1.56,61.0,148.0,39.0,0
10.0,41.0,410.0,4.1,0.266,0.539,1.98,109.0,221.0,55.0,0
9.0,38.0,342.0,4.2219999999999995,0.313,0.62,2.18,107.0,212.0,49.0,0
8.0,26.0,208.0,3.25,0.25,0.8079999999999999,1.37,52.0,168.0,38.0,0
9.0,163.0,1467.0,18.111,0.264,0.51,2.98,387.0,748.0,130.0,0
9.0,38.0,342.0,4.2219999999999995,0.21100000000000002,0.561,2.25,72.0,192.0,32.0,0
18.0,168.0,3024.0,9.333,0.187,0.73,2.34,564.0,2207.0,241.0,0
4.0,18.0,72.0,4.5,0.33299999999999996,0.667,1.71,24.0,48.0,14.0,0
9.0,250.0,2250.0,27.778000000000002,0.366,0.768,2.6,823.0,1727.0,317.0,0
11.0,152.0,1672.0,13.818,0.365,0.764,2.88,610.0,1278.0,212.0,0
10.0,12.0,120.0,1.2,0.36700000000000005,1.0,1.69,44.0,120.0,26.0,0
6.0,96.0,576.0,16.0,0.262,0.8420000000000001,1.51,151.0,485.0,100.0,0
10.0,17.0,170.0,1.7,0.22399999999999998,0.7290000000000001,2.38,38.0,124.0,16.0,0
7.0,23.0,161.0,3.286,0.447,1.0,1.95,72.0,161.0,37.0,0
7.0,32.0,224.0,4.571000000000001,0.272,0.862,1.53,61.0,193.0,40.0,0
