0,1,2,3,4,5,6,7,8,9,10
3.0,113.0,339.0,37.667,0.41,0.47200000000000003,13.9,139.0,160.0,10.0,0
3.0,59.0,177.0,19.667,0.475,0.475,84.0,84.0,84.0,1.0,0
2.0,20.0,40.0,10.0,0.675,0.675,27.0,27.0,27.0,1.0,0
2.0,101.0,202.0,50.5,0.54,0.743,10.9,109.0,150.0,10.0,0
4.0,194.0,776.0,48.5,0.263,0.273,34.0,204.0,212.0,6.0,0
2.0,22.0,44.0,11.0,0.75,0.75,33.0,33.0,33.0,1.0,0
2.0,18.0,36.0,9.0,0.8059999999999999,0.833,29.0,29.0,30.0,1.0,0
2.0,22.0,44.0,11.0,0.705,0.8640000000000001,15.5,31.0,38.0,2.0,0
3.0,116.0,348.0,38.667,0.385,0.494,33.5,134.0,172.0,4.0,0
1.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,1.0,0
1.0,13.0,13.0,13.0,1.0,1.0,13.0,13.0,13.0,1.0,0
1.0,8.0,8.0,8.0,1.0,1.0,8.0,8.0,8.0,1.0,0
1.0,44.0,44.0,44.0,0.25,1.0,2.2,11.0,44.0,5.0,0
2.0,20.0,40.0,10.0,0.725,0.875,29.0,29.0,35.0,1.0,0
2.0,20.0,40.0,10.0,0.775,0.85,31.0,31.0,34.0,1.0,0
3.0,113.0,339.0,37.667,0.35700000000000004,0.37799999999999995,30.25,121.0,128.0,4.0,0
2.0,48.0,96.0,24.0,0.625,0.677,30.0,60.0,65.0,2.0,0
2.0,18.0,36.0,9.0,0.722,0.722,26.0,26.0,26.0,1.0,0
1.0,17.0,17.0,17.0,0.765,1.0,3.25,13.0,17.0,4.0,0
1.0,8.0,8.0,8.0,1.0,1.0,8.0,8.0,8.0,1.0,0
2.0,69.0,138.0,34.5,0.623,0.9059999999999999,10.75,86.0,125.0,8.0,0
2.0,46.0,92.0,23.0,0.5870000000000001,0.7609999999999999,18.0,54.0,70.0,3.0,0
1.0,57.0,57.0,57.0,0.456,1.0,3.71,26.0,57.0,7.0,0
1.0,10.0,10.0,10.0,0.9,1.0,9.0,9.0,10.0,1.0,0
2.0,116.0,232.0,58.0,0.616,0.802,17.88,143.0,186.0,8.0,0
2.0,17.0,34.0,8.5,0.588,0.971,6.67,20.0,33.0,3.0,0
1.0,43.0,43.0,43.0,0.907,1.0,9.75,39.0,43.0,4.0,0
10.0,2.0,20.0,0.2,0.55,0.6,11.0,11.0,12.0,1.0,0
2.0,112.0,224.0,56.0,0.496,0.504,55.5,111.0,113.0,2.0,0
1.0,45.0,45.0,45.0,0.7559999999999999,1.0,5.67,34.0,45.0,6.0,0
1.0,75.0,75.0,75.0,0.813,1.0,5.55,61.0,75.0,11.0,0
2.0,157.0,314.0,78.5,0.506,0.551,26.5,159.0,173.0,6.0,0
1.0,32.0,32.0,32.0,0.7190000000000001,1.0,5.75,23.0,32.0,4.0,0
1.0,52.0,52.0,52.0,0.7879999999999999,1.0,10.25,41.0,52.0,4.0,0
1.0,13.0,13.0,13.0,0.6920000000000001,1.0,4.5,9.0,13.0,2.0,0
2.0,123.0,246.0,61.5,0.5,0.504,123.0,123.0,124.0,1.0,0
1.0,36.0,36.0,36.0,0.722,1.0,8.67,26.0,36.0,3.0,0
1.0,19.0,19.0,19.0,0.789,1.0,3.75,15.0,19.0,4.0,0
1.0,9.0,9.0,9.0,0.778,1.0,7.0,7.0,9.0,1.0,0
2.0,446.0,892.0,223.0,0.439,0.603,17.82,392.0,538.0,22.0,0
2.0,236.0,472.0,118.0,0.5660000000000001,0.6890000000000001,10.27,267.0,325.0,26.0,0
1.0,61.0,61.0,61.0,1.0,1.0,61.0,61.0,61.0,1.0,0
3.0,213.0,639.0,71.0,0.318,0.379,11.94,203.0,242.0,17.0,0
1.0,51.0,51.0,51.0,0.47100000000000003,1.0,2.4,24.0,51.0,10.0,0
19.0,462.0,8778.0,24.316,0.523,0.688,16.88,4591.0,6035.0,272.0,0
1.0,52.0,52.0,52.0,0.5379999999999999,1.0,14.0,28.0,52.0,2.0,0
1.0,33.0,33.0,33.0,1.0,1.0,33.0,33.0,33.0,1.0,0
1.0,124.0,124.0,124.0,0.444,1.0,7.86,55.0,124.0,7.0,0
1.0,75.0,75.0,75.0,0.92,1.0,11.5,69.0,75.0,6.0,0
1.0,8.0,8.0,8.0,0.875,1.0,7.0,7.0,8.0,1.0,0
1.0,40.0,40.0,40.0,1.0,1.0,40.0,40.0,40.0,1.0,0
1.0,55.0,55.0,55.0,0.564,1.0,10.33,31.0,55.0,3.0,0
1.0,115.0,115.0,115.0,0.2,1.0,4.6,23.0,115.0,5.0,0
1.0,11.0,11.0,11.0,1.0,1.0,11.0,11.0,11.0,1.0,0
1.0,46.0,46.0,46.0,0.7829999999999999,1.0,12.0,36.0,46.0,3.0,0
2.0,64.0,128.0,32.0,0.531,0.586,17.0,68.0,75.0,4.0,0
4.0,115.0,460.0,28.75,0.426,0.48700000000000004,17.82,196.0,224.0,11.0,0
1.0,48.0,48.0,48.0,0.875,1.0,10.5,42.0,48.0,4.0,0
1.0,29.0,29.0,29.0,0.586,1.0,2.13,17.0,29.0,8.0,0
1.0,17.0,17.0,17.0,0.41200000000000003,1.0,1.75,7.0,17.0,4.0,0
28.0,330.0,9240.0,11.786,0.057,0.066,31.0,527.0,614.0,17.0,0
3.0,286.0,858.0,95.333,0.406,0.42700000000000005,87.0,348.0,366.0,4.0,0
1.0,18.0,18.0,18.0,0.9440000000000001,1.0,17.0,17.0,18.0,1.0,0
1.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,1.0,0
1.0,77.0,77.0,77.0,0.40299999999999997,1.0,5.17,31.0,77.0,6.0,0
1.0,40.0,40.0,40.0,0.875,1.0,11.67,35.0,40.0,3.0,0
1.0,28.0,28.0,28.0,0.9640000000000001,1.0,27.0,27.0,28.0,1.0,0
1.0,35.0,35.0,35.0,0.8290000000000001,1.0,9.67,29.0,35.0,3.0,0
1.0,14.0,14.0,14.0,0.5710000000000001,1.0,2.0,8.0,14.0,4.0,0
1.0,23.0,23.0,23.0,0.826,1.0,19.0,19.0,23.0,1.0,0
1.0,79.0,79.0,79.0,0.608,1.0,6.86,48.0,79.0,7.0,0
1.0,11.0,11.0,11.0,0.727,1.0,4.0,8.0,11.0,2.0,0
1.0,98.0,98.0,98.0,0.9390000000000001,1.0,30.67,92.0,98.0,3.0,0
1.0,13.0,13.0,13.0,0.6920000000000001,1.0,3.0,9.0,13.0,3.0,0
1.0,17.0,17.0,17.0,0.8240000000000001,1.0,4.67,14.0,17.0,3.0,0
1.0,15.0,15.0,15.0,0.867,1.0,6.5,13.0,15.0,2.0,0
9.0,13.0,117.0,1.444,0.10300000000000001,0.752,4.0,12.0,88.0,3.0,0
6.0,7.0,42.0,1.167,0.23800000000000002,0.69,10.0,10.0,29.0,1.0,0
1.0,42.0,42.0,42.0,0.31,1.0,2.6,13.0,42.0,5.0,0
2.0,176.0,352.0,88.0,0.528,0.605,31.0,186.0,213.0,6.0,0
1.0,39.0,39.0,39.0,0.897,1.0,8.75,35.0,39.0,4.0,0
1.0,44.0,44.0,44.0,0.909,1.0,20.0,40.0,44.0,2.0,0
1.0,14.0,14.0,14.0,0.929,1.0,13.0,13.0,14.0,1.0,0
1.0,36.0,36.0,36.0,0.583,1.0,4.2,21.0,36.0,5.0,0
1.0,17.0,17.0,17.0,0.765,1.0,6.5,13.0,17.0,2.0,0
2.0,14.0,28.0,7.0,0.28600000000000003,0.821,8.0,8.0,23.0,1.0,0
3.0,183.0,549.0,61.0,0.488,0.5770000000000001,29.78,268.0,317.0,9.0,0
1.0,29.0,29.0,29.0,1.0,1.0,29.0,29.0,29.0,1.0,0
1.0,14.0,14.0,14.0,0.929,1.0,13.0,13.0,14.0,1.0,0
1.0,45.0,45.0,45.0,0.9329999999999999,1.0,21.0,42.0,45.0,2.0,0
25.0,300.0,7500.0,12.0,0.065,0.071,40.33,484.0,531.0,12.0,0
2.0,50.0,100.0,25.0,0.46,0.51,15.33,46.0,51.0,3.0,0
2.0,204.0,408.0,102.0,0.41200000000000003,0.6809999999999999,10.5,168.0,278.0,16.0,0
6.0,142.0,852.0,23.666999999999998,0.115,0.17300000000000001,6.53,98.0,147.0,15.0,0
1.0,14.0,14.0,14.0,0.857,1.0,12.0,12.0,14.0,1.0,0
1.0,69.0,69.0,69.0,0.841,1.0,8.29,58.0,69.0,7.0,0
1.0,84.0,84.0,84.0,0.917,1.0,19.25,77.0,84.0,4.0,0
1.0,73.0,73.0,73.0,0.616,1.0,3.75,45.0,73.0,12.0,0
21.0,2.0,42.0,0.095,0.738,0.738,31.0,31.0,31.0,1.0,0
1.0,147.0,147.0,147.0,0.8640000000000001,1.0,11.55,127.0,147.0,11.0,0
1.0,17.0,17.0,17.0,0.941,1.0,16.0,16.0,17.0,1.0,0
2.0,6.0,12.0,3.0,0.667,1.0,4.0,8.0,12.0,2.0,0
3.0,54.0,162.0,18.0,0.364,0.519,8.43,59.0,84.0,7.0,0
3.0,11.0,33.0,3.667,0.364,0.667,3.0,12.0,22.0,4.0,0
3.0,304.0,912.0,101.33,0.555,0.6859999999999999,42.17,506.0,626.0,12.0,0
3.0,259.0,777.0,86.333,0.41100000000000003,0.48100000000000004,13.29,319.0,374.0,24.0,0
5.0,333.0,1665.0,66.6,0.374,0.413,36.65,623.0,688.0,17.0,0
2.0,6.0,12.0,3.0,0.667,1.0,4.0,8.0,12.0,2.0,0
2.0,49.0,98.0,24.5,0.51,0.51,50.0,50.0,50.0,1.0,0
1.0,114.0,114.0,114.0,0.9390000000000001,1.0,21.4,107.0,114.0,5.0,0
1.0,41.0,41.0,41.0,0.927,1.0,12.67,38.0,41.0,3.0,0
1.0,27.0,27.0,27.0,0.40700000000000003,1.0,1.83,11.0,27.0,6.0,0
1.0,41.0,41.0,41.0,0.78,1.0,4.57,32.0,41.0,7.0,0
1.0,22.0,22.0,22.0,0.5,1.0,1.83,11.0,22.0,6.0,0
1.0,65.0,65.0,65.0,0.6459999999999999,1.0,3.0,42.0,65.0,14.0,0
7.0,46.0,322.0,6.571000000000001,0.177,0.304,8.14,57.0,98.0,7.0,0
2.0,9.0,18.0,4.5,0.556,0.556,10.0,10.0,10.0,1.0,0
2.0,46.0,92.0,23.0,0.511,0.5539999999999999,47.0,47.0,51.0,1.0,0
