Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE
LR,roc_auc,9.8e-04,2.8e-08,1.5e-07
LR,f1,1.2e-09,2.8e-09,9.2e-05
LR,geometric_mean_score,1.5e-12,4.0e-08,1.4e-08
KNN,roc_auc,2.5e-09,2.1e-10,5.3e-05
KNN,f1,1.1e-07,1.0e-09,2.0e-10
KNN,geometric_mean_score,2.7e-11,8.0e-05,1.6e-02
DT,roc_auc,1.8e-12,1.1e-13,1.3e-10
DT,f1,1.6e-08,4.2e-15,1.8e-09
DT,geometric_mean_score,4.9e-12,4.9e-12,4.6e-10
GBC,roc_auc,5.7e-09,5.7e-09,1.6e-09
GBC,f1,3.9e-12,4.1e-15,1.7e-12
GBC,geometric_mean_score,8.3e-12,1.0e-12,1.7e-12
