Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE
LR,AUC,0.00098,2.8e-08,1.5e-07
LR,F-SCORE,1.2e-09,2.8000000000000003e-09,9.2e-05
LR,G-MEAN,1.4999999999999999e-12,4e-08,1.4e-08
KNN,AUC,2.5e-09,2.1000000000000002e-10,5.3e-05
KNN,F-SCORE,1.1e-07,1e-09,2e-10
KNN,G-MEAN,2.7e-11,8e-05,0.016
DT,AUC,1.8000000000000002e-12,1.1e-13,1.3000000000000002e-10
DT,F-SCORE,1.6e-08,4.2e-15,1.8e-09
DT,G-MEAN,4.9e-12,4.9e-12,4.6e-10
GBC,AUC,5.7e-09,5.7e-09,1.6e-09
GBC,F-SCORE,3.9e-12,4.1e-15,1.6999999999999998e-12
GBC,G-MEAN,8.300000000000001e-12,1e-12,1.6999999999999998e-12
