Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
LR,AUC,2.9130434782608696,2.9420289855072466,2.739130434782609,1.4057971014492754
LR,F-SCORE,3.231884057971014,2.8768115942028984,2.420289855072464,1.4710144927536233
LR,G-MEAN,3.739130434782609,2.471014492753623,2.579710144927536,1.210144927536232
KNN,AUC,2.9782608695652173,3.391304347826087,2.3840579710144927,1.2463768115942029
KNN,F-SCORE,3.1594202898550723,2.731884057971014,2.688405797101449,1.420289855072464
KNN,G-MEAN,3.695652173913044,2.840579710144928,2.1739130434782608,1.289855072463768
DT,AUC,3.239130434782609,3.1594202898550723,2.427536231884058,1.173913043478261
DT,F-SCORE,2.7971014492753623,3.1594202898550723,2.6594202898550723,1.384057971014493
DT,G-MEAN,3.652173913043478,2.8115942028985508,2.369565217391304,1.1666666666666667
GBC,AUC,2.9927536231884058,3.231884057971014,2.6231884057971016,1.1521739130434785
GBC,F-SCORE,3.1956521739130435,3.079710144927536,2.528985507246377,1.1956521739130437
GBC,G-MEAN,3.644927536231884,2.920289855072464,2.3115942028985508,1.1231884057971016
