Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
LR,AUC,0.898800009949935,0.9026973673313038,0.9031701929265865,0.9066460562742868
LR,F-SCORE,0.44404547925185417,0.5880103285549027,0.5933323711813336,0.6038403306960748
LR,G-MEAN,0.4993985419023053,0.8422170496679627,0.8405355025232915,0.8562494247123944
KNN,AUC,0.8249964940484595,0.8219281341087459,0.8421683839708396,0.8629793332188707
KNN,F-SCORE,0.5457113535332484,0.5842959975396247,0.5898519207015098,0.6203908511571073
KNN,G-MEAN,0.628027457383088,0.7577316070555247,0.7829676901135182,0.8206357599762395
DT,AUC,0.8446470848722968,0.8486653755729309,0.8649737138753305,0.8940845194889169
DT,F-SCORE,0.6228152390441158,0.6252307333254024,0.6409674281571344,0.6897876403669863
DT,G-MEAN,0.7256876170000208,0.8200901026098315,0.8328335155105209,0.8662881071192338
GBC,AUC,0.906809902988775,0.9055200069027836,0.9132028481693999,0.92711467322436
GBC,F-SCORE,0.6614871281918416,0.6788069251393337,0.6968077742466301,0.7362987815536585
GBC,G-MEAN,0.747641369153255,0.8174558585550062,0.8338497859785178,0.8681758151312645
