Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
LR,AUC,0.8988000099499347,0.9026973673313042,0.9031701929265867,0.9066460562742868
LR,F-SCORE,0.4440454792518542,0.5880103285549029,0.5933323711813336,0.603840330696075
LR,G-MEAN,0.4993985419023052,0.842217049667963,0.8405355025232915,0.8562494247123945
KNN,AUC,0.8249964940484595,0.8219281341087459,0.8421683839708396,0.8629793332188705
KNN,F-SCORE,0.5457113535332485,0.5842959975396246,0.5898519207015099,0.6203908511571072
KNN,G-MEAN,0.6280274573830877,0.757731607055524,0.782967690113518,0.8206357599762394
DT,AUC,0.8446470848722972,0.8486653755729311,0.8649737138753306,0.8940845194889171
DT,F-SCORE,0.622815239044116,0.6252307333254025,0.640967428157134,0.6897876403669863
DT,G-MEAN,0.7256876170000209,0.8200901026098316,0.8328335155105206,0.8662881071192338
GBC,AUC,0.9068099029887746,0.9055200069027838,0.9132028481694,0.92711467322436
GBC,F-SCORE,0.6614871281918417,0.6788069251393339,0.6968077742466305,0.7362987815536586
GBC,G-MEAN,0.747641369153255,0.8174558585550061,0.8338497859785172,0.8681758151312648
