Dataset,Oversampler,Classifier,Metric,Score
PAGE BLOCKS 0 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8824016967751356
PAGE BLOCKS 0 (3),NO OVERSAMPLING,LR,mean_test_f1,0.3589256586290781
PAGE BLOCKS 0 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.48814691641063696
PAGE BLOCKS 0 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.8792399739787807
PAGE BLOCKS 0 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.6271805223382347
PAGE BLOCKS 0 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.7263150683153015
PAGE BLOCKS 0 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.8866669039538077
PAGE BLOCKS 0 (3),NO OVERSAMPLING,DT,mean_test_f1,0.7391543283926904
PAGE BLOCKS 0 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.8386541517401168
PAGE BLOCKS 0 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9863174461459258
PAGE BLOCKS 0 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.7493820700161232
PAGE BLOCKS 0 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.8461773856835834
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.9435164306645447
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.44865194147241055
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.8985081135914731
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.8783788810176046
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.6434682057704116
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8298421185630169
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.944350318131353
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.6134949054302111
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.893236002270215
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9838199468277852
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.7646115745100364
PAGE BLOCKS 0 (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9332239868347848
PAGE BLOCKS 0 (3),SMOTE,LR,mean_test_roc_auc,0.941997967648529
PAGE BLOCKS 0 (3),SMOTE,LR,mean_test_f1,0.4493458378592546
PAGE BLOCKS 0 (3),SMOTE,LR,mean_test_geometric_mean_score,0.8989711989662833
PAGE BLOCKS 0 (3),SMOTE,KNN,mean_test_roc_auc,0.9251525178522425
PAGE BLOCKS 0 (3),SMOTE,KNN,mean_test_f1,0.6014336800196355
PAGE BLOCKS 0 (3),SMOTE,KNN,mean_test_geometric_mean_score,0.8773633863202189
PAGE BLOCKS 0 (3),SMOTE,DT,mean_test_roc_auc,0.9519721197433344
PAGE BLOCKS 0 (3),SMOTE,DT,mean_test_f1,0.6370238862058457
PAGE BLOCKS 0 (3),SMOTE,DT,mean_test_geometric_mean_score,0.920962172452943
PAGE BLOCKS 0 (3),SMOTE,GBC,mean_test_roc_auc,0.9883583930983352
PAGE BLOCKS 0 (3),SMOTE,GBC,mean_test_f1,0.7411108985772449
PAGE BLOCKS 0 (3),SMOTE,GBC,mean_test_geometric_mean_score,0.9452615763588689
PAGE BLOCKS 0 (3),G-SMOTE,LR,mean_test_roc_auc,0.9464390476293495
PAGE BLOCKS 0 (3),G-SMOTE,LR,mean_test_f1,0.4698852249310293
PAGE BLOCKS 0 (3),G-SMOTE,LR,mean_test_geometric_mean_score,0.901703575354242
PAGE BLOCKS 0 (3),G-SMOTE,KNN,mean_test_roc_auc,0.9309744123640457
PAGE BLOCKS 0 (3),G-SMOTE,KNN,mean_test_f1,0.665315331304274
PAGE BLOCKS 0 (3),G-SMOTE,KNN,mean_test_geometric_mean_score,0.8777039821650715
PAGE BLOCKS 0 (3),G-SMOTE,DT,mean_test_roc_auc,0.9526016407139558
PAGE BLOCKS 0 (3),G-SMOTE,DT,mean_test_f1,0.7059628342672903
PAGE BLOCKS 0 (3),G-SMOTE,DT,mean_test_geometric_mean_score,0.9262966406670436
PAGE BLOCKS 0 (3),G-SMOTE,GBC,mean_test_roc_auc,0.9896298343055437
PAGE BLOCKS 0 (3),G-SMOTE,GBC,mean_test_f1,0.7753599988194447
PAGE BLOCKS 0 (3),G-SMOTE,GBC,mean_test_geometric_mean_score,0.9535297714328922
LIVER (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.7209341397849464
LIVER (3),NO OVERSAMPLING,LR,mean_test_f1,0.15597037371230918
LIVER (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.2766116429449991
LIVER (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.6275761648745519
LIVER (3),NO OVERSAMPLING,KNN,mean_test_f1,0.29957213838792784
LIVER (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.45032549604585864
LIVER (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.5140774342891278
LIVER (3),NO OVERSAMPLING,DT,mean_test_f1,0.33402688968266214
LIVER (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.496881677211135
LIVER (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.7110065710872161
LIVER (3),NO OVERSAMPLING,GBC,mean_test_f1,0.3970726853791369
LIVER (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.5366810187939784
LIVER (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.7153748506571088
LIVER (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.4250591036281828
LIVER (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.651820211454867
LIVER (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.6446255227001195
LIVER (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.36254666508458805
LIVER (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.5814458448680511
LIVER (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.5549525836320192
LIVER (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.31301622212912544
LIVER (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.5265883941784693
LIVER (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.6718712664277181
LIVER (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.41722641728571525
LIVER (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.5946510115156962
LIVER (3),SMOTE,LR,mean_test_roc_auc,0.7323364695340501
LIVER (3),SMOTE,LR,mean_test_f1,0.44033957025587506
LIVER (3),SMOTE,LR,mean_test_geometric_mean_score,0.6655879279756666
LIVER (3),SMOTE,KNN,mean_test_roc_auc,0.6260528673835125
LIVER (3),SMOTE,KNN,mean_test_f1,0.3907978059667436
LIVER (3),SMOTE,KNN,mean_test_geometric_mean_score,0.6020097615845056
LIVER (3),SMOTE,DT,mean_test_roc_auc,0.6000522700119474
LIVER (3),SMOTE,DT,mean_test_f1,0.3606277255430929
LIVER (3),SMOTE,DT,mean_test_geometric_mean_score,0.5757273852979472
LIVER (3),SMOTE,GBC,mean_test_roc_auc,0.6808878434886498
LIVER (3),SMOTE,GBC,mean_test_f1,0.36367908962164147
LIVER (3),SMOTE,GBC,mean_test_geometric_mean_score,0.5661321468570768
LIVER (3),G-SMOTE,LR,mean_test_roc_auc,0.7321983273596177
LIVER (3),G-SMOTE,LR,mean_test_f1,0.44224951394075634
LIVER (3),G-SMOTE,LR,mean_test_geometric_mean_score,0.6696398665091973
LIVER (3),G-SMOTE,KNN,mean_test_roc_auc,0.6584808094384708
LIVER (3),G-SMOTE,KNN,mean_test_f1,0.4186887607758411
LIVER (3),G-SMOTE,KNN,mean_test_geometric_mean_score,0.6171230706548818
LIVER (3),G-SMOTE,DT,mean_test_roc_auc,0.6348043608124253
LIVER (3),G-SMOTE,DT,mean_test_f1,0.3970312414792923
LIVER (3),G-SMOTE,DT,mean_test_geometric_mean_score,0.6013207925598597
LIVER (3),G-SMOTE,GBC,mean_test_roc_auc,0.7070937873357228
LIVER (3),G-SMOTE,GBC,mean_test_f1,0.4600370313028097
LIVER (3),G-SMOTE,GBC,mean_test_geometric_mean_score,0.631336572974127
IRIS,NO OVERSAMPLING,LR,mean_test_roc_auc,1.0
IRIS,NO OVERSAMPLING,LR,mean_test_f1,1.0
IRIS,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,1.0
IRIS,NO OVERSAMPLING,KNN,mean_test_roc_auc,1.0
IRIS,NO OVERSAMPLING,KNN,mean_test_f1,1.0
IRIS,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,1.0
IRIS,NO OVERSAMPLING,DT,mean_test_roc_auc,1.0
IRIS,NO OVERSAMPLING,DT,mean_test_f1,1.0
IRIS,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,1.0
IRIS,NO OVERSAMPLING,GBC,mean_test_roc_auc,1.0
IRIS,NO OVERSAMPLING,GBC,mean_test_f1,1.0
IRIS,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,1.0
IRIS,RANDOM OVERSAMPLING,LR,mean_test_roc_auc,1.0
IRIS,RANDOM OVERSAMPLING,LR,mean_test_f1,1.0
IRIS,RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,1.0
IRIS,RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,1.0
IRIS,RANDOM OVERSAMPLING,KNN,mean_test_f1,1.0
IRIS,RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,1.0
IRIS,RANDOM OVERSAMPLING,DT,mean_test_roc_auc,1.0
IRIS,RANDOM OVERSAMPLING,DT,mean_test_f1,1.0
IRIS,RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,1.0
IRIS,RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,1.0
IRIS,RANDOM OVERSAMPLING,GBC,mean_test_f1,1.0
IRIS,RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,1.0
IRIS,SMOTE,LR,mean_test_roc_auc,1.0
IRIS,SMOTE,LR,mean_test_f1,1.0
IRIS,SMOTE,LR,mean_test_geometric_mean_score,1.0
IRIS,SMOTE,KNN,mean_test_roc_auc,1.0
IRIS,SMOTE,KNN,mean_test_f1,1.0
IRIS,SMOTE,KNN,mean_test_geometric_mean_score,1.0
IRIS,SMOTE,DT,mean_test_roc_auc,1.0
IRIS,SMOTE,DT,mean_test_f1,1.0
IRIS,SMOTE,DT,mean_test_geometric_mean_score,1.0
IRIS,SMOTE,GBC,mean_test_roc_auc,1.0
IRIS,SMOTE,GBC,mean_test_f1,1.0
IRIS,SMOTE,GBC,mean_test_geometric_mean_score,1.0
IRIS,G-SMOTE,LR,mean_test_roc_auc,1.0
IRIS,G-SMOTE,LR,mean_test_f1,1.0
IRIS,G-SMOTE,LR,mean_test_geometric_mean_score,1.0
IRIS,G-SMOTE,KNN,mean_test_roc_auc,1.0
IRIS,G-SMOTE,KNN,mean_test_f1,1.0
IRIS,G-SMOTE,KNN,mean_test_geometric_mean_score,1.0
IRIS,G-SMOTE,DT,mean_test_roc_auc,1.0
IRIS,G-SMOTE,DT,mean_test_f1,1.0
IRIS,G-SMOTE,DT,mean_test_geometric_mean_score,1.0
IRIS,G-SMOTE,GBC,mean_test_roc_auc,1.0
IRIS,G-SMOTE,GBC,mean_test_f1,1.0
IRIS,G-SMOTE,GBC,mean_test_geometric_mean_score,1.0
VEHICLE (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9935943607934741
VEHICLE (2),NO OVERSAMPLING,LR,mean_test_f1,0.9056715332625039
VEHICLE (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9458055418059907
VEHICLE (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9769772875225948
VEHICLE (2),NO OVERSAMPLING,KNN,mean_test_f1,0.8058781329329107
VEHICLE (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8748208188508865
VEHICLE (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.936639446830806
VEHICLE (2),NO OVERSAMPLING,DT,mean_test_f1,0.7593465253614204
