Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
GLASS,LR,roc_auc,4.0,2.0,3.0,1.0
GLASS,LR,f1,4.0,3.0,2.0,1.0
GLASS,LR,geometric_mean_score,4.0,3.0,2.0,1.0
GLASS,KNN,roc_auc,4.0,3.0,2.0,1.0
GLASS,KNN,f1,4.0,3.0,1.0,2.0
GLASS,KNN,geometric_mean_score,4.0,3.0,1.0,2.0
GLASS,DT,roc_auc,3.0,4.0,2.0,1.0
GLASS,DT,f1,3.0,2.0,4.0,1.0
GLASS,DT,geometric_mean_score,3.0,2.0,4.0,1.0
GLASS,GBC,roc_auc,2.0,4.0,3.0,1.0
GLASS,GBC,f1,1.0,4.0,3.0,2.0
GLASS,GBC,geometric_mean_score,2.0,4.0,3.0,1.0
YEAST 6 (2),LR,roc_auc,4.0,3.0,1.0,2.0
YEAST 6 (2),LR,f1,4.0,3.0,1.0,2.0
YEAST 6 (2),LR,geometric_mean_score,4.0,3.0,1.0,2.0
YEAST 6 (2),KNN,roc_auc,2.0,3.0,4.0,1.0
YEAST 6 (2),KNN,f1,1.0,3.0,4.0,2.0
YEAST 6 (2),KNN,geometric_mean_score,4.0,2.0,3.0,1.0
YEAST 6 (2),DT,roc_auc,4.0,3.0,2.0,1.0
YEAST 6 (2),DT,f1,4.0,2.0,3.0,1.0
YEAST 6 (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
YEAST 6 (2),GBC,roc_auc,4.0,3.0,2.0,1.0
YEAST 6 (2),GBC,f1,4.0,3.0,2.0,1.0
YEAST 6 (2),GBC,geometric_mean_score,4.0,3.0,2.0,1.0
BREAST TISSUE (2),LR,roc_auc,2.0,3.0,4.0,1.0
BREAST TISSUE (2),LR,f1,4.0,2.0,3.0,1.0
BREAST TISSUE (2),LR,geometric_mean_score,4.0,1.0,3.0,2.0
BREAST TISSUE (2),KNN,roc_auc,4.0,3.0,2.0,1.0
BREAST TISSUE (2),KNN,f1,4.0,3.0,2.0,1.0
BREAST TISSUE (2),KNN,geometric_mean_score,4.0,3.0,2.0,1.0
BREAST TISSUE (2),DT,roc_auc,4.0,3.0,2.0,1.0
BREAST TISSUE (2),DT,f1,4.0,3.0,2.0,1.0
BREAST TISSUE (2),DT,geometric_mean_score,4.0,3.0,2.0,1.0
BREAST TISSUE (2),GBC,roc_auc,4.0,2.0,3.0,1.0
BREAST TISSUE (2),GBC,f1,4.0,3.0,2.0,1.0
