Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
HEART,LR,AUC,0.8824016967751356,0.9435164306645448,0.9419979676485292,0.9464390476293496
HEART,LR,F-SCORE,0.3589256586290781,0.44865194147241055,0.4493458378592546,0.4698852249310293
HEART,LR,G-MEAN,0.488146916410637,0.8985081135914731,0.8989711989662833,0.9017035753542421
HEART,KNN,AUC,0.8792399739787807,0.8783788810176046,0.9251525178522424,0.9309744123640455
HEART,KNN,F-SCORE,0.6271805223382347,0.6434682057704116,0.6014336800196355,0.6653153313042739
HEART,KNN,G-MEAN,0.7263150683153015,0.8298421185630169,0.8773633863202189,0.8777039821650715
HEART,DT,AUC,0.8866669039538077,0.944350318131353,0.9519721197433344,0.9526016407139558
HEART,DT,F-SCORE,0.7391543283926904,0.6134949054302111,0.6370238862058457,0.7059628342672903
HEART,DT,G-MEAN,0.8386541517401168,0.893236002270215,0.920962172452943,0.9262966406670436
HEART,GBC,AUC,0.9863174461459258,0.9838199468277852,0.9883583930983352,0.9896298343055436
HEART,GBC,F-SCORE,0.7493820700161232,0.7646115745100364,0.7411108985772449,0.7753599988194447
HEART,GBC,G-MEAN,0.8461773856835834,0.9332239868347848,0.9452615763588688,0.9535297714328922
LIVER,LR,AUC,0.7209341397849464,0.7153748506571088,0.7323364695340501,0.7321983273596177
LIVER,LR,F-SCORE,0.15597037371230918,0.4250591036281828,0.4403395702558751,0.4422495139407563
LIVER,LR,G-MEAN,0.2766116429449991,0.651820211454867,0.6655879279756666,0.6696398665091973
LIVER,KNN,AUC,0.6275761648745519,0.6446255227001195,0.6260528673835125,0.6584808094384708
LIVER,KNN,F-SCORE,0.29957213838792784,0.3625466650845881,0.3907978059667436,0.4186887607758411
LIVER,KNN,G-MEAN,0.45032549604585853,0.5814458448680511,0.6020097615845056,0.6171230706548818
LIVER,DT,AUC,0.5140774342891278,0.5549525836320192,0.6000522700119474,0.6348043608124253
LIVER,DT,F-SCORE,0.3340268896826621,0.31301622212912544,0.3606277255430929,0.3970312414792923
LIVER,DT,G-MEAN,0.496881677211135,0.5265883941784693,0.5757273852979472,0.6013207925598597
LIVER,GBC,AUC,0.7110065710872161,0.6718712664277181,0.6808878434886498,0.7070937873357228
LIVER,GBC,F-SCORE,0.3970726853791369,0.4172264172857153,0.3636790896216415,0.4600370313028097
LIVER,GBC,G-MEAN,0.5366810187939784,0.5946510115156962,0.5661321468570768,0.631336572974127
WINE,LR,AUC,1.0,1.0,1.0,1.0
WINE,LR,F-SCORE,1.0,1.0,1.0,1.0
WINE,LR,G-MEAN,1.0,1.0,1.0,1.0
WINE,KNN,AUC,1.0,1.0,1.0,1.0
WINE,KNN,F-SCORE,1.0,1.0,1.0,1.0
WINE,KNN,G-MEAN,1.0,1.0,1.0,1.0
WINE,DT,AUC,1.0,1.0,1.0,1.0
WINE,DT,F-SCORE,1.0,1.0,1.0,1.0
WINE,DT,G-MEAN,1.0,1.0,1.0,1.0
WINE,GBC,AUC,1.0,1.0,1.0,1.0
WINE,GBC,F-SCORE,1.0,1.0,1.0,1.0
WINE,GBC,G-MEAN,1.0,1.0,1.0,1.0
PIMA,LR,AUC,0.993594360793474,0.9914538917551312,0.9916120798895024,0.996429987891918
PIMA,LR,F-SCORE,0.905671533262504,0.917862909578826,0.9110058986060846,0.9181112557208779
PIMA,LR,G-MEAN,0.9458055418059907,0.9664610566603421,0.9595879623433328,0.978634524524319
PIMA,KNN,AUC,0.9769772875225948,0.972825204137901,0.9779032552849908,0.9833454158928908
PIMA,KNN,F-SCORE,0.8058781329329107,0.7961433127691869,0.8065367819853141,0.8316295011507443
PIMA,KNN,G-MEAN,0.8748208188508865,0.9298202728054168,0.9469017153816652,0.9458427108650792
PIMA,DT,AUC,0.9366394468308058,0.9404683354201552,0.9366574076481424,0.9542984087762686
PIMA,DT,F-SCORE,0.7593465253614204,0.7681593291890106,0.7573073828548429,0.7833071117168164
PIMA,DT,G-MEAN,0.8445512229863749,0.9174419820590852,0.902531276232332,0.9272808149104126
PIMA,GBC,AUC,0.9906555965122912,0.9921008857542668,0.991321963835508,0.9953090303922648
PIMA,GBC,F-SCORE,0.8611228090263907,0.8689663551674522,0.8590472743438685,0.9034349369791724
PIMA,GBC,G-MEAN,0.91476850840221,0.9310538287192344,0.9293176294397476,0.958976216828213
BREAST TISSUE,LR,AUC,0.9867332667332668,0.9854578754578756,0.986098346098346,0.9867499167499167
BREAST TISSUE,LR,F-SCORE,0.8388461538461538,0.830883190883191,0.8256928256928256,0.8671639471639473
BREAST TISSUE,LR,G-MEAN,0.8772464023692196,0.9023712131709326,0.8957787437198791,0.9375880908669392
