Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE
LR,ROC AUC,0.001599364273889342,0.3452275964525422,0.3452275964525422
LR,F1,1.1169793104129958e-10,1.1169793104129958e-10,1.228128795110974e-10
LR,GEOMETRIC MEAN SCORE,3.3983367277017017e-11,0.08831475323022783,0.08831475323022783
KNN,ROC AUC,7.325781816865398e-14,3.988302507305968e-15,0.016884030522693227
KNN,F1,1.0590198061776031e-13,1.3521250227323309e-08,7.149752310660507e-06
KNN,GEOMETRIC MEAN SCORE,2.9932202476605934e-13,0.3929736271818073,0.16215313034732962
DT,ROC AUC,7.666345803761596e-13,4.45810831978476e-11,1.4976423220858121e-06
DT,F1,5.840257926036142e-13,1.2523766429002386e-13,9.208131351658166e-10
DT,GEOMETRIC MEAN SCORE,3.6191852403765207e-12,0.05791511753577842,0.7968739776444118
GBC,ROC AUC,2.1654142578579612e-10,2.497023704831795e-09,5.2373460427869524e-08
GBC,F1,4.09121223794958e-14,1.4916909054522432e-13,7.87741163058323e-09
GBC,GEOMETRIC MEAN SCORE,3.3418098919229356e-13,2.0596616949709972e-05,0.2883210292257353
