Dataset,Oversampler,Classifier,Metric,Score
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8536719781434259
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_f1,0.07842133011975597
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.16934343787219394
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.5787273538729906
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.0
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.0
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.7276756929246908
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_f1,0.14091540334651173
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.3350481958786141
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8116755570180592
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.135739019094806
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.3219570790756717
MANDELON 1 (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.8134463706457606
MANDELON 1 (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.07885957048760345
MANDELON 1 (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.7337621905723108
MANDELON 1 (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.5785405710335342
MANDELON 1 (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.07336178688291366
MANDELON 1 (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.3182071686689544
MANDELON 1 (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.724441963885675
MANDELON 1 (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.11484100070560706
MANDELON 1 (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.7242324911804507
MANDELON 1 (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.7810497177655689
MANDELON 1 (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.23354024142088498
MANDELON 1 (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.5199437047718043
MANDELON 1 (3),SMOTE,LR,mean_test_roc_auc,0.8133236871153875
MANDELON 1 (3),SMOTE,LR,mean_test_f1,0.08102217765482952
MANDELON 1 (3),SMOTE,LR,mean_test_geometric_mean_score,0.7272066113218152
MANDELON 1 (3),SMOTE,KNN,mean_test_roc_auc,0.6884471505739276
MANDELON 1 (3),SMOTE,KNN,mean_test_f1,0.09055071320991945
MANDELON 1 (3),SMOTE,KNN,mean_test_geometric_mean_score,0.5977662824209493
MANDELON 1 (3),SMOTE,DT,mean_test_roc_auc,0.7738364824177641
MANDELON 1 (3),SMOTE,DT,mean_test_f1,0.09156056798733646
MANDELON 1 (3),SMOTE,DT,mean_test_geometric_mean_score,0.7398186241392946
MANDELON 1 (3),SMOTE,GBC,mean_test_roc_auc,0.8110378562197446
MANDELON 1 (3),SMOTE,GBC,mean_test_f1,0.20251467178666893
MANDELON 1 (3),SMOTE,GBC,mean_test_geometric_mean_score,0.6179877664870135
MANDELON 1 (3),G-SOMO,LR,mean_test_roc_auc,0.8536719781434259
MANDELON 1 (3),G-SOMO,LR,mean_test_f1,0.1833775137528961
MANDELON 1 (3),G-SOMO,LR,mean_test_geometric_mean_score,0.5936223781887515
MANDELON 1 (3),G-SOMO,KNN,mean_test_roc_auc,0.6036529333762127
MANDELON 1 (3),G-SOMO,KNN,mean_test_f1,0.08012357024481948
MANDELON 1 (3),G-SOMO,KNN,mean_test_geometric_mean_score,0.2102965467626855
MANDELON 1 (3),G-SOMO,DT,mean_test_roc_auc,0.7951649324051193
MANDELON 1 (3),G-SOMO,DT,mean_test_f1,0.1833133157662179
MANDELON 1 (3),G-SOMO,DT,mean_test_geometric_mean_score,0.546331542024132
MANDELON 1 (3),G-SOMO,GBC,mean_test_roc_auc,0.85934831110704
MANDELON 1 (3),G-SOMO,GBC,mean_test_f1,0.22573319056640034
MANDELON 1 (3),G-SOMO,GBC,mean_test_geometric_mean_score,0.46051071670292243
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9995356774782613
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_f1,0.9909866804603646
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.995213168224299
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9856664504870247
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_f1,0.9025843385188564
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9370190170689188
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.9823883278667969
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_f1,0.9545832234707834
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9755336169394673
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9926247474094365
