Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
MANDELON 1 (3),LR,ROC AUC,1.5,3.0,4.0,1.5
MANDELON 1 (3),LR,F1,4.0,3.0,2.0,1.0
MANDELON 1 (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
MANDELON 1 (3),KNN,ROC AUC,3.0,4.0,1.0,2.0
MANDELON 1 (3),KNN,F1,4.0,3.0,1.0,2.0
MANDELON 1 (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1 (3),DT,ROC AUC,3.0,4.0,2.0,1.0
MANDELON 1 (3),DT,F1,2.0,3.0,4.0,1.0
MANDELON 1 (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1 (3),GBC,ROC AUC,2.0,4.0,3.0,1.0
MANDELON 1 (3),GBC,F1,4.0,1.0,3.0,2.0
MANDELON 1 (3),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
SEGMENTATION (3),LR,ROC AUC,2.0,4.0,3.0,1.0
SEGMENTATION (3),LR,F1,1.0,4.0,3.0,2.0
SEGMENTATION (3),LR,GEOMETRIC MEAN SCORE,1.0,4.0,3.0,2.0
SEGMENTATION (3),KNN,ROC AUC,4.0,3.0,2.0,1.0
SEGMENTATION (3),KNN,F1,4.0,2.0,3.0,1.0
SEGMENTATION (3),KNN,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
SEGMENTATION (3),DT,ROC AUC,2.0,4.0,3.0,1.0
SEGMENTATION (3),DT,F1,2.0,4.0,3.0,1.0
SEGMENTATION (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
SEGMENTATION (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
SEGMENTATION (3),GBC,F1,2.0,3.0,4.0,1.0
SEGMENTATION (3),GBC,GEOMETRIC MEAN SCORE,2.0,3.0,4.0,1.0
SEGMENTATION,LR,ROC AUC,4.0,1.0,2.0,3.0
SEGMENTATION,LR,F1,1.5,4.0,3.0,1.5
SEGMENTATION,LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
SEGMENTATION,KNN,ROC AUC,3.0,4.0,2.0,1.0
SEGMENTATION,KNN,F1,1.0,3.0,4.0,2.0
SEGMENTATION,KNN,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
SEGMENTATION,DT,ROC AUC,4.0,2.0,3.0,1.0
SEGMENTATION,DT,F1,3.0,1.0,4.0,2.0
SEGMENTATION,DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
SEGMENTATION,GBC,ROC AUC,4.0,3.0,2.0,1.0
SEGMENTATION,GBC,F1,4.0,2.0,3.0,1.0
SEGMENTATION,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 4 (3),LR,ROC AUC,4.0,3.0,1.0,2.0
YEAST 4 (3),LR,F1,4.0,3.0,2.0,1.0
YEAST 4 (3),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 4 (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
YEAST 4 (3),KNN,F1,4.0,3.0,2.0,1.0
YEAST 4 (3),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 4 (3),DT,ROC AUC,3.0,4.0,2.0,1.0
YEAST 4 (3),DT,F1,4.0,3.0,2.0,1.0
YEAST 4 (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 4 (3),GBC,ROC AUC,2.0,4.0,3.0,1.0
YEAST 4 (3),GBC,F1,4.0,3.0,1.0,2.0
YEAST 4 (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
PIMA (2),LR,ROC AUC,3.0,1.0,2.0,4.0
PIMA (2),LR,F1,4.0,2.0,1.0,3.0
PIMA (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PIMA (2),KNN,ROC AUC,3.0,4.0,2.0,1.0
PIMA (2),KNN,F1,4.0,3.0,2.0,1.0
PIMA (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PIMA (2),DT,ROC AUC,1.0,4.0,2.0,3.0
PIMA (2),DT,F1,4.0,3.0,1.0,2.0
PIMA (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PIMA (2),GBC,ROC AUC,2.0,3.0,4.0,1.0
PIMA (2),GBC,F1,4.0,2.0,3.0,1.0
PIMA (2),GBC,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
GLASS,LR,ROC AUC,3.0,4.0,2.0,1.0
GLASS,LR,F1,4.0,3.0,2.0,1.0
GLASS,LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
GLASS,KNN,ROC AUC,3.0,2.0,4.0,1.0
GLASS,KNN,F1,4.0,2.0,3.0,1.0
GLASS,KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
GLASS,DT,ROC AUC,4.0,2.0,3.0,1.0
GLASS,DT,F1,4.0,3.0,2.0,1.0
GLASS,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
GLASS,GBC,ROC AUC,2.0,4.0,3.0,1.0
GLASS,GBC,F1,1.0,4.0,3.0,2.0
GLASS,GBC,GEOMETRIC MEAN SCORE,1.0,4.0,3.0,2.0
ECOLI (2),LR,ROC AUC,2.0,4.0,3.0,1.0
ECOLI (2),LR,F1,4.0,3.0,2.0,1.0
ECOLI (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
ECOLI (2),KNN,ROC AUC,3.0,4.0,2.0,1.0
ECOLI (2),KNN,F1,2.0,3.0,4.0,1.0
ECOLI (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
ECOLI (2),DT,ROC AUC,4.0,3.0,2.0,1.0
ECOLI (2),DT,F1,4.0,2.0,3.0,1.0
ECOLI (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
