Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
MANDELON 1 (3),LR,ROC AUC,0.8536719781434259,0.8134463706457606,0.8133236871153875,0.8536719781434259
MANDELON 1 (3),LR,F1,0.07842133011975597,0.07885957048760345,0.08102217765482952,0.1833775137528961
MANDELON 1 (3),LR,GEOMETRIC MEAN SCORE,0.16934343787219394,0.7337621905723108,0.7272066113218152,0.5936223781887515
MANDELON 1 (3),KNN,ROC AUC,0.5787273538729906,0.5785405710335342,0.6884471505739276,0.6036529333762127
MANDELON 1 (3),KNN,F1,0.0,0.07336178688291366,0.09055071320991945,0.08012357024481948
MANDELON 1 (3),KNN,GEOMETRIC MEAN SCORE,0.0,0.3182071686689544,0.5977662824209493,0.2102965467626855
MANDELON 1 (3),DT,ROC AUC,0.7276756929246908,0.724441963885675,0.7738364824177641,0.7951649324051193
MANDELON 1 (3),DT,F1,0.14091540334651173,0.11484100070560706,0.09156056798733646,0.1833133157662179
MANDELON 1 (3),DT,GEOMETRIC MEAN SCORE,0.3350481958786141,0.7242324911804507,0.7398186241392946,0.546331542024132
MANDELON 1 (3),GBC,ROC AUC,0.8116755570180592,0.7810497177655689,0.8110378562197446,0.85934831110704
MANDELON 1 (3),GBC,F1,0.135739019094806,0.23354024142088498,0.20251467178666893,0.22573319056640034
MANDELON 1 (3),GBC,GEOMETRIC MEAN SCORE,0.3219570790756717,0.5199437047718043,0.6179877664870135,0.46051071670292243
SEGMENTATION (3),LR,ROC AUC,0.9995356774782613,0.9995151926611257,0.9995220209335042,0.9997814952838877
SEGMENTATION (3),LR,F1,0.9909866804603646,0.971056338635286,0.9802122969491389,0.986598617000279
SEGMENTATION (3),LR,GEOMETRIC MEAN SCORE,0.995213168224299,0.9940779674270889,0.9945807372203834,0.994960426374454
SEGMENTATION (3),KNN,ROC AUC,0.9856664504870247,0.9894555963096632,0.99116048301455,0.9951332770351908
SEGMENTATION (3),KNN,F1,0.9025843385188564,0.9144144350188805,0.90481694999307,0.9175022962240607
SEGMENTATION (3),KNN,GEOMETRIC MEAN SCORE,0.9370190170689188,0.9819644252059151,0.9813368280866728,0.9812632654419613
SEGMENTATION (3),DT,ROC AUC,0.9823883278667969,0.9784547825337299,0.9785043830259141,0.9910517890661432
SEGMENTATION (3),DT,F1,0.9545832234707834,0.9306074406683963,0.9375897077404254,0.957332607139417
SEGMENTATION (3),DT,GEOMETRIC MEAN SCORE,0.9755336169394673,0.9785068947893568,0.9787600207456892,0.9861514717245454
SEGMENTATION (3),GBC,ROC AUC,0.9926247474094365,0.9906941489118524,0.9989806150212849,0.9998418721026378
SEGMENTATION (3),GBC,F1,0.9771579015066124,0.9455841176978239,0.9443287988871103,0.9774738011262885
SEGMENTATION (3),GBC,GEOMETRIC MEAN SCORE,0.9857051405575489,0.983829188330261,0.9837062802814293,0.9935410169426706
SEGMENTATION,LR,ROC AUC,0.9997750229568413,0.9999012855831038,0.9998691460055096,0.9998393021120294
SEGMENTATION,LR,F1,0.9908812899638588,0.9872401789277283,0.9901753220695477,0.9908812899638588
SEGMENTATION,LR,GEOMETRIC MEAN SCORE,0.9934107746388243,0.9953192467669327,0.9945558717413425,0.9939213314443571
SEGMENTATION,KNN,ROC AUC,0.9960537190082644,0.9952169421487602,0.9961088154269973,0.9978661616161615
SEGMENTATION,KNN,F1,0.9647664901305515,0.9523467748532477,0.9523296958419492,0.9627766007778944
SEGMENTATION,KNN,GEOMETRIC MEAN SCORE,0.9901487124047992,0.989128532351373,0.9891293162624047,0.991645691432534
SEGMENTATION,DT,ROC AUC,0.9907162534435262,0.9921900826446282,0.9918342516069789,0.9936604683195593
SEGMENTATION,DT,F1,0.9748551470952762,0.9782222682565147,0.9745058120248875,0.9774623286707603
SEGMENTATION,DT,GEOMETRIC MEAN SCORE,0.9830927990111924,0.9906276430383718,0.9893632795210607,0.9919043684599362
SEGMENTATION,GBC,ROC AUC,0.9996533516988063,0.999657943067034,0.9997819100091827,0.9999127640036731
SEGMENTATION,GBC,F1,0.9801000876343342,0.9863620396003873,0.9856494130506747,0.993178140639865
SEGMENTATION,GBC,GEOMETRIC MEAN SCORE,0.9862555188644944,0.9920077125125745,0.9937854284036882,0.9968372068285205
YEAST 4 (3),LR,ROC AUC,0.9001038278786978,0.9084606539392339,0.9111102418054939,0.9088924961744806
YEAST 4 (3),LR,F1,0.0,0.1321514150223873,0.14743424515838308,0.18090699955179868
YEAST 4 (3),LR,GEOMETRIC MEAN SCORE,0.0,0.8483075932987678,0.856619896846775,0.837738018009372
YEAST 4 (3),KNN,ROC AUC,0.6840687556014104,0.6822884884759535,0.7723181492199087,0.8011642503660672
YEAST 4 (3),KNN,F1,0.0,0.20579259820639131,0.2109222619727625,0.33596606458675426
