Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE
LR,ROC AUC,3.32373154403802e-05,5.844134577901344e-06
LR,F1,3.5012070119232395e-11,3.951300067176897e-07
LR,GEOMETRIC MEAN SCORE,4.253787915964397e-12,0.0034291549848040194
KNN,ROC AUC,8.109963401892679e-06,0.0201101084405508
KNN,F1,8.504172584356638e-11,0.0311152531880249
KNN,GEOMETRIC MEAN SCORE,4.403187594772486e-13,0.22371764425001348
DT,ROC AUC,6.109740937749754e-10,0.0016902132682981186
DT,F1,2.0222699947146458e-10,3.0400090565896464e-05
DT,GEOMETRIC MEAN SCORE,1.2998116123660348e-10,0.012935905900073558
GBC,ROC AUC,3.3794320139562326e-06,0.0019933566987807697
GBC,F1,2.556098519737843e-10,0.014310977801607058
GBC,GEOMETRIC MEAN SCORE,2.874674634166393e-10,0.09046568370237823
