Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE,K-MEANS BORDERLINE-SMOTE
LR,ROC AUC,2.4420289855072466,2.2681159420289854,1.289855072463768
LR,F1,2.746376811594203,1.9492753623188406,1.3043478260869565
LR,GEOMETRIC MEAN SCORE,2.8840579710144927,1.7391304347826086,1.3768115942028984
KNN,ROC AUC,2.579710144927536,1.7391304347826086,1.681159420289855
KNN,F1,2.6884057971014492,1.8623188405797102,1.4492753623188406
KNN,GEOMETRIC MEAN SCORE,2.8260869565217392,1.6014492753623188,1.5724637681159421
DT,ROC AUC,2.579710144927536,1.963768115942029,1.4565217391304348
DT,F1,2.4927536231884058,2.1159420289855073,1.391304347826087
DT,GEOMETRIC MEAN SCORE,2.717391304347826,1.7391304347826086,1.5434782608695652
GBC,ROC AUC,2.4855072463768115,2.0652173913043477,1.4492753623188406
GBC,F1,2.608695652173913,1.9420289855072463,1.4492753623188406
GBC,GEOMETRIC MEAN SCORE,2.746376811594203,1.7391304347826086,1.5144927536231885
