Dataset,Oversampler,Classifier,Metric,Score
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_f1,0.07869184805804523
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.1693444752212658
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.5663309996886924
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.0
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.0
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.765315214606362
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_f1,0.14809509952275637
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.2803756444608645
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8421427568071135
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.1805001306103572
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.3854238594984102
MANDELON 1 (3),BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.8431124236583079
MANDELON 1 (3),BORDERLINE-SMOTE,LR,mean_test_f1,0.12442767738353618
MANDELON 1 (3),BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.7412961675975065
MANDELON 1 (3),BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.6014493222590171
MANDELON 1 (3),BORDERLINE-SMOTE,KNN,mean_test_f1,0.08244496842511159
MANDELON 1 (3),BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.41905960514492674
MANDELON 1 (3),BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.7568460082446704
MANDELON 1 (3),BORDERLINE-SMOTE,DT,mean_test_f1,0.17789580315679815
MANDELON 1 (3),BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.7096997700375689
MANDELON 1 (3),BORDERLINE-SMOTE,GBC,mean_test_roc_auc,0.8384520126793088
MANDELON 1 (3),BORDERLINE-SMOTE,GBC,mean_test_f1,0.22208114298569742
MANDELON 1 (3),BORDERLINE-SMOTE,GBC,mean_test_geometric_mean_score,0.589659431324006
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_f1,0.14984041968457296
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.7752510681882271
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.5666307605162527
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_f1,0.07729732201563189
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.2597162419284659
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.7919242151267566
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_f1,0.17740836216317324
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.6954294522437019
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_roc_auc,0.8514354121571884
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_f1,0.23196143685989737
MANDELON 1 (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_geometric_mean_score,0.6079353977078027
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996151022706046
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.970293854097682
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_f1,0.8440053694498176
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8966133216356724
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.9574659566047126
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_f1,0.9339612811411712
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9560910101727997
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9934673581802769
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_f1,0.9640634825809028
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9806788582775832
SEGMENTATION (3),BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.9994990216401698
SEGMENTATION (3),BORDERLINE-SMOTE,LR,mean_test_f1,0.9865335300648008
SEGMENTATION (3),BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.9948365516617654
SEGMENTATION (3),BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.9809339597318067
SEGMENTATION (3),BORDERLINE-SMOTE,KNN,mean_test_f1,0.8586393561110256
SEGMENTATION (3),BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.9479011568525233
SEGMENTATION (3),BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.9862124461346948
SEGMENTATION (3),BORDERLINE-SMOTE,DT,mean_test_f1,0.957749598911356
SEGMENTATION (3),BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.9853643234247484
SEGMENTATION (3),BORDERLINE-SMOTE,GBC,mean_test_roc_auc,0.9988566317513685
SEGMENTATION (3),BORDERLINE-SMOTE,GBC,mean_test_f1,0.9665808869154816
SEGMENTATION (3),BORDERLINE-SMOTE,GBC,mean_test_geometric_mean_score,0.9851446433652056
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.99973944801696
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.9739805791001964
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_f1,0.8695358610460664
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.9444914886417562
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.9837092409939301
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_f1,0.9680103856901483
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.9841457374353557
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_roc_auc,0.9992680294474552
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_f1,0.9773422835684277
SEGMENTATION (3),K-MEANS BORDERLINE-SMOTE,GBC,mean_test_geometric_mean_score,0.9857401270760675
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996923783287419
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9934027396648947
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9964600550964187
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_f1,0.9441647437242149
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9802234804888963
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_roc_auc,0.9867320936639119
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_f1,0.9757263386823821
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9864043693904601
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9994582185491276
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_f1,0.9809455908597666
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9872996179866429
SEGMENTATION,BORDERLINE-SMOTE,LR,mean_test_roc_auc,0.9998117539026631
SEGMENTATION,BORDERLINE-SMOTE,LR,mean_test_f1,0.9841616910232919
SEGMENTATION,BORDERLINE-SMOTE,LR,mean_test_geometric_mean_score,0.9935342552311541
SEGMENTATION,BORDERLINE-SMOTE,KNN,mean_test_roc_auc,0.9957196969696969
SEGMENTATION,BORDERLINE-SMOTE,KNN,mean_test_f1,0.9466193941655783
SEGMENTATION,BORDERLINE-SMOTE,KNN,mean_test_geometric_mean_score,0.9881101414048055
SEGMENTATION,BORDERLINE-SMOTE,DT,mean_test_roc_auc,0.9858494031221303
SEGMENTATION,BORDERLINE-SMOTE,DT,mean_test_f1,0.969974400562636
SEGMENTATION,BORDERLINE-SMOTE,DT,mean_test_geometric_mean_score,0.9860839566532489
