Dataset,Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE,K-MEANS BORDERLINE-SMOTE
MANDELON 1 (3),LR,ROC AUC,0.8643943608870338,0.8431124236583079,0.8643943608870338
MANDELON 1 (3),LR,F1,0.07869184805804523,0.12442767738353618,0.14984041968457296
MANDELON 1 (3),LR,GEOMETRIC MEAN SCORE,0.1693444752212658,0.7412961675975065,0.7752510681882271
MANDELON 1 (3),KNN,ROC AUC,0.5663309996886924,0.6014493222590171,0.5666307605162527
MANDELON 1 (3),KNN,F1,0.0,0.08244496842511159,0.07729732201563189
MANDELON 1 (3),KNN,GEOMETRIC MEAN SCORE,0.0,0.41905960514492674,0.2597162419284659
MANDELON 1 (3),DT,ROC AUC,0.765315214606362,0.7568460082446704,0.7919242151267566
MANDELON 1 (3),DT,F1,0.14809509952275637,0.17789580315679815,0.17740836216317324
MANDELON 1 (3),DT,GEOMETRIC MEAN SCORE,0.2803756444608645,0.7096997700375689,0.6954294522437019
MANDELON 1 (3),GBC,ROC AUC,0.8421427568071135,0.8384520126793088,0.8514354121571884
MANDELON 1 (3),GBC,F1,0.1805001306103572,0.22208114298569742,0.23196143685989737
MANDELON 1 (3),GBC,GEOMETRIC MEAN SCORE,0.3854238594984102,0.589659431324006,0.6079353977078027
SEGMENTATION (3),LR,ROC AUC,0.9996151022706046,0.9994990216401698,0.99973944801696
SEGMENTATION (3),LR,F1,0.9908630860120853,0.9865335300648008,0.9908630860120853
SEGMENTATION (3),LR,GEOMETRIC MEAN SCORE,0.9950894853461145,0.9948365516617654,0.9950894853461145
SEGMENTATION (3),KNN,ROC AUC,0.970293854097682,0.9809339597318067,0.9739805791001964
SEGMENTATION (3),KNN,F1,0.8440053694498176,0.8586393561110256,0.8695358610460664
SEGMENTATION (3),KNN,GEOMETRIC MEAN SCORE,0.8966133216356724,0.9479011568525233,0.9444914886417562
SEGMENTATION (3),DT,ROC AUC,0.9574659566047126,0.9862124461346948,0.9837092409939301
SEGMENTATION (3),DT,F1,0.9339612811411712,0.957749598911356,0.9680103856901483
SEGMENTATION (3),DT,GEOMETRIC MEAN SCORE,0.9560910101727997,0.9853643234247484,0.9841457374353557
SEGMENTATION (3),GBC,ROC AUC,0.9934673581802769,0.9988566317513685,0.9992680294474552
SEGMENTATION (3),GBC,F1,0.9640634825809028,0.9665808869154816,0.9773422835684277
SEGMENTATION (3),GBC,GEOMETRIC MEAN SCORE,0.9806788582775832,0.9851446433652056,0.9857401270760675
SEGMENTATION,LR,ROC AUC,0.9996923783287419,0.9998117539026631,0.9998829201101929
SEGMENTATION,LR,F1,0.9908534264077664,0.9841616910232919,0.9908534264077664
SEGMENTATION,LR,GEOMETRIC MEAN SCORE,0.9934027396648947,0.9935342552311541,0.9946872143068842
SEGMENTATION,KNN,ROC AUC,0.9964600550964187,0.9957196969696969,0.9965507346189164
SEGMENTATION,KNN,F1,0.9441647437242149,0.9466193941655783,0.9464458247066944
SEGMENTATION,KNN,GEOMETRIC MEAN SCORE,0.9802234804888963,0.9881101414048055,0.9873478054653873
SEGMENTATION,DT,ROC AUC,0.9867320936639119,0.9858494031221303,0.990049357208448
SEGMENTATION,DT,F1,0.9757263386823821,0.969974400562636,0.9779322311299526
SEGMENTATION,DT,GEOMETRIC MEAN SCORE,0.9864043693904601,0.9860839566532489,0.9873956163999217
SEGMENTATION,GBC,ROC AUC,0.9994582185491276,0.9994651056014693,0.999814049586777
SEGMENTATION,GBC,F1,0.9809455908597666,0.985539480067826,0.9893592842827331
SEGMENTATION,GBC,GEOMETRIC MEAN SCORE,0.9872996179866429,0.9899745921535796,0.993155870936546
YEAST 4 (3),LR,ROC AUC,0.8763980439716197,0.887583809500476,0.8894883141308743
YEAST 4 (3),LR,F1,0.0,0.17327047276242324,0.14079629570351115
YEAST 4 (3),LR,GEOMETRIC MEAN SCORE,0.0,0.8272452201199731,0.8415842867495453
YEAST 4 (3),KNN,ROC AUC,0.7714947150513582,0.7690211328377021,0.7739941441347429
YEAST 4 (3),KNN,F1,0.06648275862068967,0.23742330116992788,0.2509896648314498
YEAST 4 (3),KNN,GEOMETRIC MEAN SCORE,0.14803534313232042,0.6030929090748418,0.6309276377167037
