Classifier,Metric,NO OVERSAMPLING,G-SMOTE
LR,ROC AUC,1.3009052680489516e-05,0.0008183484451047269
LR,F1,9.425354850628527e-12,1.6004391352158876e-08
LR,GEOMETRIC MEAN SCORE,1.6083042366206464e-12,0.989588220576781
KNN,ROC AUC,1.3541624871275769e-11,0.006395549550755076
KNN,F1,3.684196842080491e-12,0.00013025450016040168
KNN,GEOMETRIC MEAN SCORE,2.295496284971634e-13,0.0013816469064662279
DT,ROC AUC,7.801877021741606e-11,0.7107902104882025
DT,F1,5.913857089579181e-12,5.809473013841291e-06
DT,GEOMETRIC MEAN SCORE,3.2665492182879693e-12,0.14583870572386373
GBC,ROC AUC,1.1080187418114288e-08,0.3530713611505827
GBC,F1,2.633701516252239e-12,0.8072037804198853
GBC,GEOMETRIC MEAN SCORE,1.4835418543078575e-12,0.000485041985777558
