Dataset,Oversampler,Classifier,Metric,Score
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_f1,0.07869184805804523
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.1693444752212658
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.5663309996886924
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.0
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.0
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.765315214606362
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_f1,0.14809509952275637
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.2803756444608645
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8421427568071135
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.1805001306103572
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.3854238594984102
MANDELON 1 (3),G-SMOTE,LR,mean_test_roc_auc,0.8550450690618094
MANDELON 1 (3),G-SMOTE,LR,mean_test_f1,0.08654194453505762
MANDELON 1 (3),G-SMOTE,LR,mean_test_geometric_mean_score,0.7950906132073468
MANDELON 1 (3),G-SMOTE,KNN,mean_test_roc_auc,0.7009166055999506
MANDELON 1 (3),G-SMOTE,KNN,mean_test_f1,0.07978614029759656
MANDELON 1 (3),G-SMOTE,KNN,mean_test_geometric_mean_score,0.5094202877118893
MANDELON 1 (3),G-SMOTE,DT,mean_test_roc_auc,0.858703274835402
MANDELON 1 (3),G-SMOTE,DT,mean_test_f1,0.18370865991077673
MANDELON 1 (3),G-SMOTE,DT,mean_test_geometric_mean_score,0.812866888977761
MANDELON 1 (3),G-SMOTE,GBC,mean_test_roc_auc,0.8834432086178412
MANDELON 1 (3),G-SMOTE,GBC,mean_test_f1,0.2597940073363857
MANDELON 1 (3),G-SMOTE,GBC,mean_test_geometric_mean_score,0.8149582194326592
MANDELON 1 (3),K-MEANS G-SMOTE,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),K-MEANS G-SMOTE,LR,mean_test_f1,0.15208647535810466
MANDELON 1 (3),K-MEANS G-SMOTE,LR,mean_test_geometric_mean_score,0.7752510681882271
MANDELON 1 (3),K-MEANS G-SMOTE,KNN,mean_test_roc_auc,0.5778136294438483
MANDELON 1 (3),K-MEANS G-SMOTE,KNN,mean_test_f1,0.07729732201563189
MANDELON 1 (3),K-MEANS G-SMOTE,KNN,mean_test_geometric_mean_score,0.2597162419284659
MANDELON 1 (3),K-MEANS G-SMOTE,DT,mean_test_roc_auc,0.7934312105845878
MANDELON 1 (3),K-MEANS G-SMOTE,DT,mean_test_f1,0.18096052258332126
MANDELON 1 (3),K-MEANS G-SMOTE,DT,mean_test_geometric_mean_score,0.6954294522437019
MANDELON 1 (3),K-MEANS G-SMOTE,GBC,mean_test_roc_auc,0.8514354121571884
MANDELON 1 (3),K-MEANS G-SMOTE,GBC,mean_test_f1,0.24688027608472524
MANDELON 1 (3),K-MEANS G-SMOTE,GBC,mean_test_geometric_mean_score,0.6079353977078027
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996151022706046
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.970293854097682
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_f1,0.8440053694498176
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8966133216356724
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.9574659566047126
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_f1,0.9339612811411712
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9560910101727997
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9934673581802769
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_f1,0.9640634825809028
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9806788582775832
SEGMENTATION (3),G-SMOTE,LR,mean_test_roc_auc,0.9997254322613174
SEGMENTATION (3),G-SMOTE,LR,mean_test_f1,0.9865335300648008
SEGMENTATION (3),G-SMOTE,LR,mean_test_geometric_mean_score,0.9948365516617654
SEGMENTATION (3),G-SMOTE,KNN,mean_test_roc_auc,0.9827942133085674
SEGMENTATION (3),G-SMOTE,KNN,mean_test_f1,0.8555041912335462
SEGMENTATION (3),G-SMOTE,KNN,mean_test_geometric_mean_score,0.9571209395943965
SEGMENTATION (3),G-SMOTE,DT,mean_test_roc_auc,0.9912990567775257
SEGMENTATION (3),G-SMOTE,DT,mean_test_f1,0.9428427084367744
SEGMENTATION (3),G-SMOTE,DT,mean_test_geometric_mean_score,0.9914309810964392
SEGMENTATION (3),G-SMOTE,GBC,mean_test_roc_auc,0.9999304600381156
SEGMENTATION (3),G-SMOTE,GBC,mean_test_f1,0.979919901604786
SEGMENTATION (3),G-SMOTE,GBC,mean_test_geometric_mean_score,0.996345720090341
SEGMENTATION (3),K-MEANS G-SMOTE,LR,mean_test_roc_auc,0.9997448394457964
SEGMENTATION (3),K-MEANS G-SMOTE,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),K-MEANS G-SMOTE,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),K-MEANS G-SMOTE,KNN,mean_test_roc_auc,0.9790777636052757
SEGMENTATION (3),K-MEANS G-SMOTE,KNN,mean_test_f1,0.8656460186422668
SEGMENTATION (3),K-MEANS G-SMOTE,KNN,mean_test_geometric_mean_score,0.9546367921041863
SEGMENTATION (3),K-MEANS G-SMOTE,DT,mean_test_roc_auc,0.9915340247816324
SEGMENTATION (3),K-MEANS G-SMOTE,DT,mean_test_f1,0.959744221288189
SEGMENTATION (3),K-MEANS G-SMOTE,DT,mean_test_geometric_mean_score,0.9881683900945287
SEGMENTATION (3),K-MEANS G-SMOTE,GBC,mean_test_roc_auc,0.9999590303657289
SEGMENTATION (3),K-MEANS G-SMOTE,GBC,mean_test_f1,0.9864750225519996
SEGMENTATION (3),K-MEANS G-SMOTE,GBC,mean_test_geometric_mean_score,0.9983557136936299
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996923783287419
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9934027396648947
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9964600550964187
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_f1,0.9441647437242149
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9802234804888963
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_roc_auc,0.9867320936639119
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_f1,0.9757263386823821
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9864043693904601
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9994582185491276
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_f1,0.9809455908597666
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9872996179866429
SEGMENTATION,G-SMOTE,LR,mean_test_roc_auc,0.9998645546372819
SEGMENTATION,G-SMOTE,LR,mean_test_f1,0.987171921372967
SEGMENTATION,G-SMOTE,LR,mean_test_geometric_mean_score,0.9949391602200011
SEGMENTATION,G-SMOTE,KNN,mean_test_roc_auc,0.9969478879706153
SEGMENTATION,G-SMOTE,KNN,mean_test_f1,0.9418780499588499
SEGMENTATION,G-SMOTE,KNN,mean_test_geometric_mean_score,0.9872200346986004
SEGMENTATION,G-SMOTE,DT,mean_test_roc_auc,0.9930567033976125
SEGMENTATION,G-SMOTE,DT,mean_test_f1,0.9702157788294494
SEGMENTATION,G-SMOTE,DT,mean_test_geometric_mean_score,0.9891326275273331
SEGMENTATION,G-SMOTE,GBC,mean_test_roc_auc,0.999878328741965
SEGMENTATION,G-SMOTE,GBC,mean_test_f1,0.9924447474810086
SEGMENTATION,G-SMOTE,GBC,mean_test_geometric_mean_score,0.9962070264263133
SEGMENTATION,K-MEANS G-SMOTE,LR,mean_test_roc_auc,0.999864554637282
SEGMENTATION,K-MEANS G-SMOTE,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,K-MEANS G-SMOTE,LR,mean_test_geometric_mean_score,0.995191106133118
SEGMENTATION,K-MEANS G-SMOTE,KNN,mean_test_roc_auc,0.9972623966942149
SEGMENTATION,K-MEANS G-SMOTE,KNN,mean_test_f1,0.9459247648902821
