Dataset,Classifier,Metric,NO OVERSAMPLING,G-SMOTE,K-MEANS G-SMOTE
MANDELON 1 (3),LR,ROC AUC,0.8643943608870338,0.8550450690618094,0.8643943608870338
MANDELON 1 (3),LR,F1,0.07869184805804523,0.08654194453505762,0.15208647535810466
MANDELON 1 (3),LR,GEOMETRIC MEAN SCORE,0.1693444752212658,0.7950906132073468,0.7752510681882271
MANDELON 1 (3),KNN,ROC AUC,0.5663309996886924,0.7009166055999506,0.5778136294438483
MANDELON 1 (3),KNN,F1,0.0,0.07978614029759656,0.07729732201563189
MANDELON 1 (3),KNN,GEOMETRIC MEAN SCORE,0.0,0.5094202877118893,0.2597162419284659
MANDELON 1 (3),DT,ROC AUC,0.765315214606362,0.858703274835402,0.7934312105845878
MANDELON 1 (3),DT,F1,0.14809509952275637,0.18370865991077673,0.18096052258332126
MANDELON 1 (3),DT,GEOMETRIC MEAN SCORE,0.2803756444608645,0.812866888977761,0.6954294522437019
MANDELON 1 (3),GBC,ROC AUC,0.8421427568071135,0.8834432086178412,0.8514354121571884
MANDELON 1 (3),GBC,F1,0.1805001306103572,0.2597940073363857,0.24688027608472524
MANDELON 1 (3),GBC,GEOMETRIC MEAN SCORE,0.3854238594984102,0.8149582194326592,0.6079353977078027
SEGMENTATION (3),LR,ROC AUC,0.9996151022706046,0.9997254322613174,0.9997448394457964
SEGMENTATION (3),LR,F1,0.9908630860120853,0.9865335300648008,0.9908630860120853
SEGMENTATION (3),LR,GEOMETRIC MEAN SCORE,0.9950894853461145,0.9948365516617654,0.9950894853461145
SEGMENTATION (3),KNN,ROC AUC,0.970293854097682,0.9827942133085674,0.9790777636052757
SEGMENTATION (3),KNN,F1,0.8440053694498176,0.8555041912335462,0.8656460186422668
SEGMENTATION (3),KNN,GEOMETRIC MEAN SCORE,0.8966133216356724,0.9571209395943965,0.9546367921041863
SEGMENTATION (3),DT,ROC AUC,0.9574659566047126,0.9912990567775257,0.9915340247816324
SEGMENTATION (3),DT,F1,0.9339612811411712,0.9428427084367744,0.959744221288189
SEGMENTATION (3),DT,GEOMETRIC MEAN SCORE,0.9560910101727997,0.9914309810964392,0.9881683900945287
SEGMENTATION (3),GBC,ROC AUC,0.9934673581802769,0.9999304600381156,0.9999590303657289
SEGMENTATION (3),GBC,F1,0.9640634825809028,0.979919901604786,0.9864750225519996
SEGMENTATION (3),GBC,GEOMETRIC MEAN SCORE,0.9806788582775832,0.996345720090341,0.9983557136936299
SEGMENTATION,LR,ROC AUC,0.9996923783287419,0.9998645546372819,0.999864554637282
SEGMENTATION,LR,F1,0.9908534264077664,0.987171921372967,0.9908534264077664
SEGMENTATION,LR,GEOMETRIC MEAN SCORE,0.9934027396648947,0.9949391602200011,0.995191106133118
SEGMENTATION,KNN,ROC AUC,0.9964600550964187,0.9969478879706153,0.9972623966942149
SEGMENTATION,KNN,F1,0.9441647437242149,0.9418780499588499,0.9459247648902821
SEGMENTATION,KNN,GEOMETRIC MEAN SCORE,0.9802234804888963,0.9872200346986004,0.9879852820497452
SEGMENTATION,DT,ROC AUC,0.9867320936639119,0.9930567033976125,0.9920087235996328
SEGMENTATION,DT,F1,0.9757263386823821,0.9702157788294494,0.9757613069096406
SEGMENTATION,DT,GEOMETRIC MEAN SCORE,0.9864043693904601,0.9891326275273331,0.9896203707896569
SEGMENTATION,GBC,ROC AUC,0.9994582185491276,0.999878328741965,0.9999357208448117
SEGMENTATION,GBC,F1,0.9809455908597666,0.9924447474810086,0.9931920394047711
SEGMENTATION,GBC,GEOMETRIC MEAN SCORE,0.9872996179866429,0.9962070264263133,0.9974717690239869
YEAST 4 (3),LR,ROC AUC,0.8763980439716197,0.8891715039561875,0.8899761331144642
YEAST 4 (3),LR,F1,0.0,0.14374099994551837,0.1400985988429862
YEAST 4 (3),LR,GEOMETRIC MEAN SCORE,0.0,0.842201239657698,0.8411525774076701
YEAST 4 (3),KNN,ROC AUC,0.7714947150513582,0.8035936410626823,0.7837873607076886
YEAST 4 (3),KNN,F1,0.06648275862068967,0.24469124058660324,0.25629981647831546
YEAST 4 (3),KNN,GEOMETRIC MEAN SCORE,0.14803534313232042,0.7513073524713527,0.6309276377167037
YEAST 4 (3),DT,ROC AUC,0.8364225853705602,0.8800702340863988,0.8364225853705602
YEAST 4 (3),DT,F1,0.22763175521796208,0.40205747126436786,0.2934519056261343
YEAST 4 (3),DT,GEOMETRIC MEAN SCORE,0.3831968901941373,0.7979220585246043,0.7300123139009536
YEAST 4 (3),GBC,ROC AUC,0.8789020978576789,0.9029026816293704,0.8821361479598087
YEAST 4 (3),GBC,F1,0.3250368405540819,0.5113073975832596,0.34989162561576354
YEAST 4 (3),GBC,GEOMETRIC MEAN SCORE,0.44519149099874955,0.6813965262791183,0.6683799229900578
PIMA (2),LR,ROC AUC,0.8016414510516071,0.8211674646412257,0.819824016962496
PIMA (2),LR,F1,0.31597564474481177,0.5623087072390401,0.5709090663888008
PIMA (2),LR,GEOMETRIC MEAN SCORE,0.45348635989693337,0.751495261262709,0.7555638077259532
PIMA (2),KNN,ROC AUC,0.712871853525114,0.7198482919629603,0.7284206688031715
PIMA (2),KNN,F1,0.34751889580236034,0.4601691412750495,0.46336641927338407
PIMA (2),KNN,GEOMETRIC MEAN SCORE,0.5145949505510317,0.6691873780201791,0.6667278818273245
PIMA (2),DT,ROC AUC,0.7771409697903168,0.785985718851012,0.7795170551285879
PIMA (2),DT,F1,0.4060304211858996,0.5210306272601498,0.5249573175390527
PIMA (2),DT,GEOMETRIC MEAN SCORE,0.5675675785649728,0.7227723182696792,0.7255484150837255
PIMA (2),GBC,ROC AUC,0.8317741586738239,0.8344757395254827,0.8329177483734513
PIMA (2),GBC,F1,0.47272761415221326,0.5593840736139162,0.5359013141165283
PIMA (2),GBC,GEOMETRIC MEAN SCORE,0.6112994739391886,0.7283308237058184,0.7009703544316794
GLASS,LR,ROC AUC,0.8184850331843424,0.8207220134091833,0.8247748205336584
GLASS,LR,F1,0.5071420819105297,0.6535045912534619,0.7005675859929807
GLASS,LR,GEOMETRIC MEAN SCORE,0.6138790621344886,0.7366126601709027,0.781866044147806
GLASS,KNN,ROC AUC,0.8492313422727888,0.8483911519707436,0.8550788128132194
GLASS,KNN,F1,0.6690827757102153,0.6858134701885232,0.7055450721029984
GLASS,KNN,GEOMETRIC MEAN SCORE,0.7543782479509339,0.7696254508914373,0.7860693778400831
GLASS,DT,ROC AUC,0.7863736793986185,0.8268583655018285,0.8219812406880671
GLASS,DT,F1,0.6763977616339214,0.731941247036023,0.7339443083045285
GLASS,DT,GEOMETRIC MEAN SCORE,0.7554646870427859,0.8024118964308669,0.8037490080473891
GLASS,GBC,ROC AUC,0.8977697920899363,0.9038923879181904,0.9068573919815792
GLASS,GBC,F1,0.7516610618121853,0.7693601254044165,0.7680516613379674
GLASS,GBC,GEOMETRIC MEAN SCORE,0.8105977900478428,0.8291034270261777,0.826534260718957
ECOLI (2),LR,ROC AUC,0.9091659943728,0.907242215439078,0.910532271109024
ECOLI (2),LR,F1,0.0,0.5120095488767827,0.5728445747800586
