Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING
LR,ROC AUC,3.1492607120296605e-05,5.259724024081188e-05
LR,F1,3.099976212974203e-11,1.1317521439787832e-09
LR,GEOMETRIC MEAN SCORE,3.5443589267251036e-12,2.633000534409649e-09
KNN,ROC AUC,1.9180434501933844e-06,1.9180434501933844e-06
KNN,F1,7.491742425755667e-11,2.541067752675393e-06
KNN,GEOMETRIC MEAN SCORE,1.0770172357994883e-12,0.13695454851830072
DT,ROC AUC,9.87160256805574e-10,4.672082904064701e-09
DT,F1,2.3544243586316365e-10,2.2080099173352467e-12
DT,GEOMETRIC MEAN SCORE,1.241311451440157e-10,1.890857450907705e-09
GBC,ROC AUC,1.484434753613432e-06,2.5191707631342794e-08
GBC,F1,1.819075872727806e-10,2.8973797136201607e-11
GBC,GEOMETRIC MEAN SCORE,4.0429409193227967e-10,6.642725372833656e-09
