Dataset,Oversampler,Classifier,Metric,Score
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_f1,0.07869184805804523
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.1693444752212658
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.5663309996886924
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.0
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.0
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.765315214606362
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_f1,0.14809509952275637
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.2803756444608645
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8421427568071135
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.1805001306103572
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.3854238594984102
MANDELON 1 (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.8434995036669899
MANDELON 1 (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.08502789490738541
MANDELON 1 (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.766612777145264
MANDELON 1 (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.5659463299899306
MANDELON 1 (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.06252343423692373
MANDELON 1 (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.2586983975908865
MANDELON 1 (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.6466596871392831
MANDELON 1 (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.10532503087962192
MANDELON 1 (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.6806114025008361
MANDELON 1 (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.7889114803932697
MANDELON 1 (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.2224764512712012
MANDELON 1 (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.6192600192039197
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_f1,0.14924056082318854
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.7752510681882271
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.5666307605162527
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_f1,0.07729732201563189
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.2597162419284659
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.786349952358005
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_f1,0.18812705574851402
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.6954294522437019
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.8514354121571884
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_f1,0.23196143685989737
MANDELON 1 (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.6079353977078027
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996151022706046
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.970293854097682
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_f1,0.8440053694498176
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8966133216356724
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.9574659566047126
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_f1,0.9339612811411712
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9560910101727997
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9934673581802769
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_f1,0.9640634825809028
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9806788582775832
SEGMENTATION (3),RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.9996296568425755
SEGMENTATION (3),RANDOM OVERSAMPLING,LR,mean_test_f1,0.9823164301161472
SEGMENTATION (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.994583425705433
SEGMENTATION (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.9737342224782417
SEGMENTATION (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.8537247250357298
SEGMENTATION (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9486735319141547
SEGMENTATION (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.9724125419460348
SEGMENTATION (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.9401883992895195
SEGMENTATION (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9729291369205344
SEGMENTATION (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9991452119801402
SEGMENTATION (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.9663319071972655
SEGMENTATION (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9847700252461425
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.9996639778099108
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.9737342224782417
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_f1,0.8537247250357298
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9486735319141547
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.9837092409939301
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_f1,0.9596202580368628
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9836458960080423
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9991962427847595
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_f1,0.9771525695129379
SEGMENTATION (3),K-MEANS RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9856435334675233
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996923783287419
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9934027396648947
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9964600550964187
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_f1,0.9441647437242149
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9802234804888963
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_roc_auc,0.9867320936639119
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_f1,0.9757263386823821
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9864043693904601
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9994582185491276
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_f1,0.9809455908597666
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9872996179866429
SEGMENTATION,RANDOM OVERSAMPLING,LR,mean_test_roc_auc,0.99972681359045
SEGMENTATION,RANDOM OVERSAMPLING,LR,mean_test_f1,0.9841616910232918
SEGMENTATION,RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9935342552311541
SEGMENTATION,RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.9948197887970616
SEGMENTATION,RANDOM OVERSAMPLING,KNN,mean_test_f1,0.9425389425389424
SEGMENTATION,RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9873478054653873
SEGMENTATION,RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.9896590909090909
SEGMENTATION,RANDOM OVERSAMPLING,DT,mean_test_f1,0.97053616048212
