Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,K-MEANS RANDOM OVERSAMPLING
MANDELON 1 (3),LR,ROC AUC,0.8643943608870338,0.8434995036669899,0.8643943608870338
MANDELON 1 (3),LR,F1,0.07869184805804523,0.08502789490738541,0.14924056082318854
MANDELON 1 (3),LR,GEOMETRIC MEAN SCORE,0.1693444752212658,0.766612777145264,0.7752510681882271
MANDELON 1 (3),KNN,ROC AUC,0.5663309996886924,0.5659463299899306,0.5666307605162527
MANDELON 1 (3),KNN,F1,0.0,0.06252343423692373,0.07729732201563189
MANDELON 1 (3),KNN,GEOMETRIC MEAN SCORE,0.0,0.2586983975908865,0.2597162419284659
MANDELON 1 (3),DT,ROC AUC,0.765315214606362,0.6466596871392831,0.786349952358005
MANDELON 1 (3),DT,F1,0.14809509952275637,0.10532503087962192,0.18812705574851402
MANDELON 1 (3),DT,GEOMETRIC MEAN SCORE,0.2803756444608645,0.6806114025008361,0.6954294522437019
MANDELON 1 (3),GBC,ROC AUC,0.8421427568071135,0.7889114803932697,0.8514354121571884
MANDELON 1 (3),GBC,F1,0.1805001306103572,0.2224764512712012,0.23196143685989737
MANDELON 1 (3),GBC,GEOMETRIC MEAN SCORE,0.3854238594984102,0.6192600192039197,0.6079353977078027
SEGMENTATION (3),LR,ROC AUC,0.9996151022706046,0.9996296568425755,0.9996639778099108
SEGMENTATION (3),LR,F1,0.9908630860120853,0.9823164301161472,0.9908630860120853
SEGMENTATION (3),LR,GEOMETRIC MEAN SCORE,0.9950894853461145,0.994583425705433,0.9950894853461145
SEGMENTATION (3),KNN,ROC AUC,0.970293854097682,0.9737342224782417,0.9737342224782417
SEGMENTATION (3),KNN,F1,0.8440053694498176,0.8537247250357298,0.8537247250357298
SEGMENTATION (3),KNN,GEOMETRIC MEAN SCORE,0.8966133216356724,0.9486735319141547,0.9486735319141547
SEGMENTATION (3),DT,ROC AUC,0.9574659566047126,0.9724125419460348,0.9837092409939301
SEGMENTATION (3),DT,F1,0.9339612811411712,0.9401883992895195,0.9596202580368628
SEGMENTATION (3),DT,GEOMETRIC MEAN SCORE,0.9560910101727997,0.9729291369205344,0.9836458960080423
SEGMENTATION (3),GBC,ROC AUC,0.9934673581802769,0.9991452119801402,0.9991962427847595
SEGMENTATION (3),GBC,F1,0.9640634825809028,0.9663319071972655,0.9771525695129379
SEGMENTATION (3),GBC,GEOMETRIC MEAN SCORE,0.9806788582775832,0.9847700252461425,0.9856435334675233
SEGMENTATION,LR,ROC AUC,0.9996923783287419,0.99972681359045,0.9998186409550046
SEGMENTATION,LR,F1,0.9908534264077664,0.9841616910232918,0.9908534264077664
SEGMENTATION,LR,GEOMETRIC MEAN SCORE,0.9934027396648947,0.9935342552311541,0.9950657589801617
SEGMENTATION,KNN,ROC AUC,0.9964600550964187,0.9948197887970616,0.9965025252525253
SEGMENTATION,KNN,F1,0.9441647437242149,0.9425389425389424,0.9452405831716176
SEGMENTATION,KNN,GEOMETRIC MEAN SCORE,0.9802234804888963,0.9873478054653873,0.9878579048115491
SEGMENTATION,DT,ROC AUC,0.9867320936639119,0.9896590909090909,0.989385904499541
SEGMENTATION,DT,F1,0.9757263386823821,0.97053616048212,0.9757100064812574
SEGMENTATION,DT,GEOMETRIC MEAN SCORE,0.9864043693904601,0.9848815236477253,0.9863853222590324
SEGMENTATION,GBC,ROC AUC,0.9994582185491276,0.9994972451790634,0.9996877869605142
SEGMENTATION,GBC,F1,0.9809455908597666,0.9863411900907268,0.9878224920204592
SEGMENTATION,GBC,GEOMETRIC MEAN SCORE,0.9872996179866429,0.9913701674743693,0.9921419387600858
YEAST 4 (3),LR,ROC AUC,0.8763980439716197,0.8874501433265367,0.8899761331144642
YEAST 4 (3),LR,F1,0.0,0.1360390327856112,0.1400985988429862
YEAST 4 (3),LR,GEOMETRIC MEAN SCORE,0.0,0.839355995254067,0.8411525774076701
YEAST 4 (3),KNN,ROC AUC,0.7714947150513582,0.7714580862512087,0.7731115430416682
YEAST 4 (3),KNN,F1,0.06648275862068967,0.2502410509031199,0.25629981647831546
YEAST 4 (3),KNN,GEOMETRIC MEAN SCORE,0.14803534313232042,0.6309276377167037,0.6309276377167037
YEAST 4 (3),DT,ROC AUC,0.8364225853705602,0.7122753617796507,0.8364225853705602
