Classifier,Metric,NO OVERSAMPLING,SMOTE,K-MEANS SMOTE
LR,ROC AUC,2.4855072463768115,2.217391304347826,1.2971014492753623
LR,F1,2.710144927536232,2.0144927536231885,1.2753623188405796
LR,GEOMETRIC MEAN SCORE,2.869565217391304,1.826086956521739,1.3043478260869565
KNN,ROC AUC,2.5869565217391304,1.7391304347826086,1.673913043478261
KNN,F1,2.63768115942029,1.9855072463768115,1.3768115942028984
KNN,GEOMETRIC MEAN SCORE,2.869565217391304,1.5217391304347827,1.608695652173913
DT,ROC AUC,2.528985507246377,2.0869565217391304,1.3840579710144927
DT,F1,2.4420289855072466,2.318840579710145,1.2391304347826086
DT,GEOMETRIC MEAN SCORE,2.753623188405797,1.818840579710145,1.4275362318840579
GBC,ROC AUC,2.5217391304347827,2.101449275362319,1.3768115942028984
GBC,F1,2.63768115942029,2.0,1.3623188405797102
GBC,GEOMETRIC MEAN SCORE,2.760869565217391,1.681159420289855,1.5579710144927537
