Dataset,Oversampler,Classifier,Metric,Score
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_f1,0.07869184805804523
MANDELON 1 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.1693444752212658
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.5663309996886924
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.0
MANDELON 1 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.0
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.765315214606362
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_f1,0.14809509952275637
MANDELON 1 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.2803756444608645
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8421427568071135
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.1805001306103572
MANDELON 1 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.3854238594984102
MANDELON 1 (3),SMOTE,LR,mean_test_roc_auc,0.8461525770154172
MANDELON 1 (3),SMOTE,LR,mean_test_f1,0.09041120059191066
MANDELON 1 (3),SMOTE,LR,mean_test_geometric_mean_score,0.7724889128664061
MANDELON 1 (3),SMOTE,KNN,mean_test_roc_auc,0.6691191673818775
MANDELON 1 (3),SMOTE,KNN,mean_test_f1,0.06930991004197676
MANDELON 1 (3),SMOTE,KNN,mean_test_geometric_mean_score,0.5595986022361289
MANDELON 1 (3),SMOTE,DT,mean_test_roc_auc,0.714656291464798
MANDELON 1 (3),SMOTE,DT,mean_test_f1,0.10766630786442255
MANDELON 1 (3),SMOTE,DT,mean_test_geometric_mean_score,0.6906465717000314
MANDELON 1 (3),SMOTE,GBC,mean_test_roc_auc,0.8292074913427974
MANDELON 1 (3),SMOTE,GBC,mean_test_f1,0.18730456407532914
MANDELON 1 (3),SMOTE,GBC,mean_test_geometric_mean_score,0.6651649999007556
MANDELON 1 (3),K-MEANS SMOTE,LR,mean_test_roc_auc,0.8643943608870338
MANDELON 1 (3),K-MEANS SMOTE,LR,mean_test_f1,0.14984041968457296
MANDELON 1 (3),K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.7752510681882271
MANDELON 1 (3),K-MEANS SMOTE,KNN,mean_test_roc_auc,0.5666307605162527
MANDELON 1 (3),K-MEANS SMOTE,KNN,mean_test_f1,0.07729732201563189
MANDELON 1 (3),K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.2597162419284659
MANDELON 1 (3),K-MEANS SMOTE,DT,mean_test_roc_auc,0.7863418502318875
MANDELON 1 (3),K-MEANS SMOTE,DT,mean_test_f1,0.18812705574851402
MANDELON 1 (3),K-MEANS SMOTE,DT,mean_test_geometric_mean_score,0.6954294522437019
MANDELON 1 (3),K-MEANS SMOTE,GBC,mean_test_roc_auc,0.8514354121571884
MANDELON 1 (3),K-MEANS SMOTE,GBC,mean_test_f1,0.23196143685989737
MANDELON 1 (3),K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.6079353977078027
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996151022706046
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.970293854097682
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_f1,0.8440053694498176
SEGMENTATION (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.8966133216356724
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.9574659566047126
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_f1,0.9339612811411712
SEGMENTATION (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9560910101727997
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9934673581802769
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_f1,0.9640634825809028
SEGMENTATION (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9806788582775832
SEGMENTATION (3),SMOTE,LR,mean_test_roc_auc,0.9995058499125484
SEGMENTATION (3),SMOTE,LR,mean_test_f1,0.9865335300648008
SEGMENTATION (3),SMOTE,LR,mean_test_geometric_mean_score,0.9948365516617654
SEGMENTATION (3),SMOTE,KNN,mean_test_roc_auc,0.9957517500101233
SEGMENTATION (3),SMOTE,KNN,mean_test_f1,0.871581991605302
SEGMENTATION (3),SMOTE,KNN,mean_test_geometric_mean_score,0.9638324622264204
SEGMENTATION (3),SMOTE,DT,mean_test_roc_auc,0.9835137535316962
SEGMENTATION (3),SMOTE,DT,mean_test_f1,0.9464571554322246
SEGMENTATION (3),SMOTE,DT,mean_test_geometric_mean_score,0.9820221844188625
SEGMENTATION (3),SMOTE,GBC,mean_test_roc_auc,0.9992156499692384
SEGMENTATION (3),SMOTE,GBC,mean_test_f1,0.971137446172289
SEGMENTATION (3),SMOTE,GBC,mean_test_geometric_mean_score,0.9853937565176902
SEGMENTATION (3),K-MEANS SMOTE,LR,mean_test_roc_auc,0.9996434929927753
SEGMENTATION (3),K-MEANS SMOTE,LR,mean_test_f1,0.9908630860120853
SEGMENTATION (3),K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.9950894853461145
SEGMENTATION (3),K-MEANS SMOTE,KNN,mean_test_roc_auc,0.9737342224782417
SEGMENTATION (3),K-MEANS SMOTE,KNN,mean_test_f1,0.8537247250357298
SEGMENTATION (3),K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.9486735319141547
SEGMENTATION (3),K-MEANS SMOTE,DT,mean_test_roc_auc,0.9837092409939301
SEGMENTATION (3),K-MEANS SMOTE,DT,mean_test_f1,0.9572858655338827
SEGMENTATION (3),K-MEANS SMOTE,DT,mean_test_geometric_mean_score,0.9836458960080423
SEGMENTATION (3),K-MEANS SMOTE,GBC,mean_test_roc_auc,0.9993024451158422
SEGMENTATION (3),K-MEANS SMOTE,GBC,mean_test_f1,0.9774584754598254
SEGMENTATION (3),K-MEANS SMOTE,GBC,mean_test_geometric_mean_score,0.9857683744201684
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996923783287419
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9934027396648947
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9964600550964187
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_f1,0.9441647437242149
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9802234804888963
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_roc_auc,0.9867320936639119
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_f1,0.9757263386823821
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9864043693904601
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9994582185491276
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_f1,0.9809455908597666
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9872996179866429
SEGMENTATION,SMOTE,LR,mean_test_roc_auc,0.9997727272727274
SEGMENTATION,SMOTE,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,SMOTE,LR,mean_test_geometric_mean_score,0.9934027396648947
SEGMENTATION,SMOTE,KNN,mean_test_roc_auc,0.9950975665748392
SEGMENTATION,SMOTE,KNN,mean_test_f1,0.9445681695781432
SEGMENTATION,SMOTE,KNN,mean_test_geometric_mean_score,0.9877303313755293
SEGMENTATION,SMOTE,DT,mean_test_roc_auc,0.9898725895316804
SEGMENTATION,SMOTE,DT,mean_test_f1,0.970773030253798
SEGMENTATION,SMOTE,DT,mean_test_geometric_mean_score,0.9874489843221768
SEGMENTATION,SMOTE,GBC,mean_test_roc_auc,0.9993273645546374
SEGMENTATION,SMOTE,GBC,mean_test_f1,0.9885904455281389
SEGMENTATION,SMOTE,GBC,mean_test_geometric_mean_score,0.9923853907866291
SEGMENTATION,K-MEANS SMOTE,LR,mean_test_roc_auc,0.999862258953168
SEGMENTATION,K-MEANS SMOTE,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,K-MEANS SMOTE,LR,mean_test_geometric_mean_score,0.9949391602200011
SEGMENTATION,K-MEANS SMOTE,KNN,mean_test_roc_auc,0.9964818640955005
SEGMENTATION,K-MEANS SMOTE,KNN,mean_test_f1,0.9452405831716176
SEGMENTATION,K-MEANS SMOTE,KNN,mean_test_geometric_mean_score,0.9878579048115491
SEGMENTATION,K-MEANS SMOTE,DT,mean_test_roc_auc,0.9904706152433426
