Dataset,Classifier,Metric,NO OVERSAMPLING,SMOTE,K-MEANS SMOTE
MANDELON 1 (3),LR,ROC AUC,0.8643943608870338,0.8461525770154172,0.8643943608870338
MANDELON 1 (3),LR,F1,0.07869184805804523,0.09041120059191066,0.14984041968457296
MANDELON 1 (3),LR,GEOMETRIC MEAN SCORE,0.1693444752212658,0.7724889128664061,0.7752510681882271
MANDELON 1 (3),KNN,ROC AUC,0.5663309996886924,0.6691191673818775,0.5666307605162527
MANDELON 1 (3),KNN,F1,0.0,0.06930991004197676,0.07729732201563189
MANDELON 1 (3),KNN,GEOMETRIC MEAN SCORE,0.0,0.5595986022361289,0.2597162419284659
MANDELON 1 (3),DT,ROC AUC,0.765315214606362,0.714656291464798,0.7863418502318875
MANDELON 1 (3),DT,F1,0.14809509952275637,0.10766630786442255,0.18812705574851402
MANDELON 1 (3),DT,GEOMETRIC MEAN SCORE,0.2803756444608645,0.6906465717000314,0.6954294522437019
MANDELON 1 (3),GBC,ROC AUC,0.8421427568071135,0.8292074913427974,0.8514354121571884
MANDELON 1 (3),GBC,F1,0.1805001306103572,0.18730456407532914,0.23196143685989737
MANDELON 1 (3),GBC,GEOMETRIC MEAN SCORE,0.3854238594984102,0.6651649999007556,0.6079353977078027
SEGMENTATION (3),LR,ROC AUC,0.9996151022706046,0.9995058499125484,0.9996434929927753
SEGMENTATION (3),LR,F1,0.9908630860120853,0.9865335300648008,0.9908630860120853
SEGMENTATION (3),LR,GEOMETRIC MEAN SCORE,0.9950894853461145,0.9948365516617654,0.9950894853461145
SEGMENTATION (3),KNN,ROC AUC,0.970293854097682,0.9957517500101233,0.9737342224782417
SEGMENTATION (3),KNN,F1,0.8440053694498176,0.871581991605302,0.8537247250357298
SEGMENTATION (3),KNN,GEOMETRIC MEAN SCORE,0.8966133216356724,0.9638324622264204,0.9486735319141547
SEGMENTATION (3),DT,ROC AUC,0.9574659566047126,0.9835137535316962,0.9837092409939301
SEGMENTATION (3),DT,F1,0.9339612811411712,0.9464571554322246,0.9572858655338827
SEGMENTATION (3),DT,GEOMETRIC MEAN SCORE,0.9560910101727997,0.9820221844188625,0.9836458960080423
SEGMENTATION (3),GBC,ROC AUC,0.9934673581802769,0.9992156499692384,0.9993024451158422
SEGMENTATION (3),GBC,F1,0.9640634825809028,0.971137446172289,0.9774584754598254
SEGMENTATION (3),GBC,GEOMETRIC MEAN SCORE,0.9806788582775832,0.9853937565176902,0.9857683744201684
SEGMENTATION,LR,ROC AUC,0.9996923783287419,0.9997727272727274,0.999862258953168
SEGMENTATION,LR,F1,0.9908534264077664,0.9908534264077664,0.9908534264077664
SEGMENTATION,LR,GEOMETRIC MEAN SCORE,0.9934027396648947,0.9934027396648947,0.9949391602200011
SEGMENTATION,KNN,ROC AUC,0.9964600550964187,0.9950975665748392,0.9964818640955005
SEGMENTATION,KNN,F1,0.9441647437242149,0.9445681695781432,0.9452405831716176
SEGMENTATION,KNN,GEOMETRIC MEAN SCORE,0.9802234804888963,0.9877303313755293,0.9878579048115491
SEGMENTATION,DT,ROC AUC,0.9867320936639119,0.9898725895316804,0.9904706152433426
SEGMENTATION,DT,F1,0.9757263386823821,0.970773030253798,0.9757100064812574
SEGMENTATION,DT,GEOMETRIC MEAN SCORE,0.9864043693904601,0.9874489843221768,0.9874650699843724
SEGMENTATION,GBC,ROC AUC,0.9994582185491276,0.9993273645546374,0.9998461891643711
SEGMENTATION,GBC,F1,0.9809455908597666,0.9885904455281389,0.9878224920204592
SEGMENTATION,GBC,GEOMETRIC MEAN SCORE,0.9872996179866429,0.9923853907866291,0.9916231723757248
YEAST 4 (3),LR,ROC AUC,0.8763980439716197,0.8927047636677438,0.8899761331144642
YEAST 4 (3),LR,F1,0.0,0.15200586511020467,0.1400985988429862
YEAST 4 (3),LR,GEOMETRIC MEAN SCORE,0.0,0.8463287198670644,0.8411525774076701
YEAST 4 (3),KNN,ROC AUC,0.7714947150513582,0.7866696820138126,0.7734017925118122
