Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
LR,AUC,0.90 $\pm$ 0.01,0.90 $\pm$ 0.01,0.90 $\pm$ 0.01,$\textbf{0.91} \pm \textbf{0.01}$
LR,F-SCORE,0.44 $\pm$ 0.05,0.59 $\pm$ 0.03,0.59 $\pm$ 0.03,$\textbf{0.60} \pm \textbf{0.03}$
LR,G-MEAN,0.50 $\pm$ 0.05,0.84 $\pm$ 0.02,0.84 $\pm$ 0.02,$\textbf{0.86} \pm \textbf{0.01}$
KNN,AUC,0.82 $\pm$ 0.02,0.82 $\pm$ 0.02,0.84 $\pm$ 0.02,$\textbf{0.86} \pm \textbf{0.01}$
KNN,F-SCORE,0.55 $\pm$ 0.03,0.58 $\pm$ 0.03,0.59 $\pm$ 0.03,$\textbf{0.62} \pm \textbf{0.03}$
KNN,G-MEAN,0.63 $\pm$ 0.03,0.76 $\pm$ 0.03,0.78 $\pm$ 0.03,$\textbf{0.82} \pm \textbf{0.02}$
DT,AUC,0.84 $\pm$ 0.01,0.85 $\pm$ 0.01,0.86 $\pm$ 0.01,$\textbf{0.89} \pm \textbf{0.01}$
DT,F-SCORE,0.62 $\pm$ 0.03,0.63 $\pm$ 0.03,0.64 $\pm$ 0.03,$\textbf{0.69} \pm \textbf{0.02}$
DT,G-MEAN,0.73 $\pm$ 0.02,0.82 $\pm$ 0.01,0.83 $\pm$ 0.01,$\textbf{0.87} \pm \textbf{0.01}$
GBC,AUC,0.91 $\pm$ 0.01,0.91 $\pm$ 0.01,0.91 $\pm$ 0.01,$\textbf{0.93} \pm \textbf{0.01}$
GBC,F-SCORE,0.66 $\pm$ 0.03,0.68 $\pm$ 0.03,0.70 $\pm$ 0.03,$\textbf{0.74} \pm \textbf{0.02}$
GBC,G-MEAN,0.75 $\pm$ 0.02,0.82 $\pm$ 0.02,0.83 $\pm$ 0.01,$\textbf{0.87} \pm \textbf{0.01}$
