Classifier,Metric,G-SMOTE,G-SOMO,K-MEANS SMOTE,NO OVER,ROS,SMOTE,SOMO
LR,AUC,4.06 $\pm$ 0.11,1.00 $\pm$ 0.00,3.68 $\pm$ 0.13,6.05 $\pm$ 0.16,5.67 $\pm$ 0.13,5.52 $\pm$ 0.10,2.02 $\pm$ 0.02
LR,F-SCORE,4.12 $\pm$ 0.15,1.04 $\pm$ 0.04,3.52 $\pm$ 0.12,6.11 $\pm$ 0.19,5.82 $\pm$ 0.13,5.21 $\pm$ 0.14,2.17 $\pm$ 0.07
LR,G-MEAN,3.44 $\pm$ 0.17,1.08 $\pm$ 0.05,3.85 $\pm$ 0.13,6.61 $\pm$ 0.13,5.43 $\pm$ 0.14,5.25 $\pm$ 0.13,2.33 $\pm$ 0.09
KNN,AUC,2.92 $\pm$ 0.20,1.38 $\pm$ 0.10,4.20 $\pm$ 0.13,5.92 $\pm$ 0.13,6.26 $\pm$ 0.13,4.65 $\pm$ 0.23,2.69 $\pm$ 0.12
KNN,F-SCORE,3.42 $\pm$ 0.19,1.17 $\pm$ 0.07,3.80 $\pm$ 0.12,6.29 $\pm$ 0.17,5.80 $\pm$ 0.12,5.12 $\pm$ 0.18,2.40 $\pm$ 0.09
KNN,G-MEAN,2.95 $\pm$ 0.20,1.38 $\pm$ 0.11,4.28 $\pm$ 0.13,6.62 $\pm$ 0.13,5.69 $\pm$ 0.11,4.38 $\pm$ 0.22,2.71 $\pm$ 0.12
DT,AUC,2.73 $\pm$ 0.19,1.21 $\pm$ 0.07,3.96 $\pm$ 0.11,6.11 $\pm$ 0.14,6.07 $\pm$ 0.11,5.27 $\pm$ 0.17,2.65 $\pm$ 0.10
DT,F-SCORE,3.05 $\pm$ 0.20,1.17 $\pm$ 0.06,3.73 $\pm$ 0.12,6.07 $\pm$ 0.16,6.10 $\pm$ 0.11,5.31 $\pm$ 0.14,2.56 $\pm$ 0.09
DT,G-MEAN,2.70 $\pm$ 0.19,1.23 $\pm$ 0.07,3.97 $\pm$ 0.12,6.45 $\pm$ 0.13,5.77 $\pm$ 0.12,5.22 $\pm$ 0.15,2.67 $\pm$ 0.10
GBC,AUC,3.18 $\pm$ 0.16,1.04 $\pm$ 0.03,3.96 $\pm$ 0.10,5.93 $\pm$ 0.15,6.10 $\pm$ 0.11,5.48 $\pm$ 0.14,2.31 $\pm$ 0.07
GBC,F-SCORE,2.58 $\pm$ 0.21,1.33 $\pm$ 0.07,3.97 $\pm$ 0.08,6.17 $\pm$ 0.15,5.93 $\pm$ 0.10,5.42 $\pm$ 0.14,2.60 $\pm$ 0.09
GBC,G-MEAN,2.39 $\pm$ 0.18,1.31 $\pm$ 0.07,4.20 $\pm$ 0.11,6.42 $\pm$ 0.12,5.80 $\pm$ 0.14,4.93 $\pm$ 0.18,2.96 $\pm$ 0.12
