Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
LR,AUC,2.91 $\pm$ 0.14,2.94 $\pm$ 0.10,2.74 $\pm$ 0.08,$\textbf{1.41} \pm \textbf{0.07}$
LR,F-SCORE,3.23 $\pm$ 0.14,2.88 $\pm$ 0.09,2.42 $\pm$ 0.10,$\textbf{1.47} \pm \textbf{0.08}$
LR,G-MEAN,3.74 $\pm$ 0.08,2.47 $\pm$ 0.07,2.58 $\pm$ 0.08,$\textbf{1.21} \pm \textbf{0.06}$
KNN,AUC,2.98 $\pm$ 0.10,3.39 $\pm$ 0.08,2.38 $\pm$ 0.09,$\textbf{1.25} \pm \textbf{0.06}$
KNN,F-SCORE,3.16 $\pm$ 0.15,2.73 $\pm$ 0.09,2.70 $\pm$ 0.10,$\textbf{1.41} \pm \textbf{0.07}$
KNN,G-MEAN,3.70 $\pm$ 0.09,2.84 $\pm$ 0.07,2.17 $\pm$ 0.08,$\textbf{1.29} \pm \textbf{0.06}$
DT,AUC,3.24 $\pm$ 0.10,3.16 $\pm$ 0.08,2.43 $\pm$ 0.10,$\textbf{1.17} \pm \textbf{0.05}$
DT,F-SCORE,2.80 $\pm$ 0.14,3.16 $\pm$ 0.08,2.66 $\pm$ 0.11,$\textbf{1.38} \pm \textbf{0.07}$
DT,G-MEAN,3.65 $\pm$ 0.08,2.81 $\pm$ 0.08,2.37 $\pm$ 0.08,$\textbf{1.17} \pm \textbf{0.05}$
GBC,AUC,2.99 $\pm$ 0.11,3.23 $\pm$ 0.09,2.62 $\pm$ 0.09,$\textbf{1.15} \pm \textbf{0.05}$
GBC,F-SCORE,3.20 $\pm$ 0.11,3.08 $\pm$ 0.08,2.53 $\pm$ 0.10,$\textbf{1.20} \pm \textbf{0.05}$
GBC,G-MEAN,3.64 $\pm$ 0.08,2.92 $\pm$ 0.08,2.31 $\pm$ 0.06,$\textbf{1.12} \pm \textbf{0.05}$
