Classifier,Metric,G-SMOTE,G-SOMO,K-MEANS SMOTE,NO OVER,ROS,SMOTE,SOMO
LR,AUC,0.90 $\pm$ 0.01,\textbf{0.93} $\pm$ 0.01,0.90 $\pm$ 0.01,0.89 $\pm$ 0.02,0.90 $\pm$ 0.01,0.90 $\pm$ 0.01,0.91 $\pm$ 0.01
LR,F-SCORE,0.69 $\pm$ 0.03,\textbf{0.74} $\pm$ 0.03,0.71 $\pm$ 0.03,0.54 $\pm$ 0.05,0.67 $\pm$ 0.03,0.68 $\pm$ 0.03,0.72 $\pm$ 0.03
LR,G-MEAN,0.85 $\pm$ 0.02,\textbf{0.88} $\pm$ 0.02,0.85 $\pm$ 0.02,0.59 $\pm$ 0.05,0.84 $\pm$ 0.02,0.84 $\pm$ 0.02,0.86 $\pm$ 0.02
KNN,AUC,0.85 $\pm$ 0.02,\textbf{0.86} $\pm$ 0.02,0.84 $\pm$ 0.02,0.83 $\pm$ 0.02,0.82 $\pm$ 0.02,0.84 $\pm$ 0.02,0.85 $\pm$ 0.02
KNN,F-SCORE,0.67 $\pm$ 0.03,\textbf{0.69} $\pm$ 0.03,0.67 $\pm$ 0.03,0.58 $\pm$ 0.04,0.62 $\pm$ 0.03,0.64 $\pm$ 0.03,0.68 $\pm$ 0.03
KNN,G-MEAN,0.81 $\pm$ 0.02,\textbf{0.82} $\pm$ 0.02,0.80 $\pm$ 0.02,0.66 $\pm$ 0.03,0.78 $\pm$ 0.02,0.80 $\pm$ 0.02,0.81 $\pm$ 0.02
DT,AUC,0.88 $\pm$ 0.02,\textbf{0.89} $\pm$ 0.01,0.87 $\pm$ 0.01,0.83 $\pm$ 0.02,0.83 $\pm$ 0.02,0.85 $\pm$ 0.02,0.87 $\pm$ 0.01
DT,F-SCORE,0.72 $\pm$ 0.03,\textbf{0.74} $\pm$ 0.03,0.71 $\pm$ 0.03,0.63 $\pm$ 0.04,0.65 $\pm$ 0.03,0.68 $\pm$ 0.03,0.72 $\pm$ 0.03
DT,G-MEAN,0.85 $\pm$ 0.02,\textbf{0.86} $\pm$ 0.02,0.83 $\pm$ 0.02,0.73 $\pm$ 0.03,0.80 $\pm$ 0.02,0.82 $\pm$ 0.02,0.84 $\pm$ 0.02
GBC,AUC,0.91 $\pm$ 0.01,\textbf{0.93} $\pm$ 0.01,0.91 $\pm$ 0.01,0.90 $\pm$ 0.01,0.89 $\pm$ 0.02,0.90 $\pm$ 0.02,0.92 $\pm$ 0.01
GBC,F-SCORE,\textbf{0.76} $\pm$ 0.03,\textbf{0.76} $\pm$ 0.03,0.74 $\pm$ 0.03,0.68 $\pm$ 0.04,0.69 $\pm$ 0.03,0.71 $\pm$ 0.03,0.74 $\pm$ 0.03
GBC,G-MEAN,\textbf{0.85} $\pm$ 0.02,\textbf{0.85} $\pm$ 0.02,0.83 $\pm$ 0.02,0.76 $\pm$ 0.03,0.81 $\pm$ 0.02,0.82 $\pm$ 0.02,0.84 $\pm$ 0.02
