,Dataset Name,Features,Instances,Minority Instances,Majority Instances,Imbalance Ratio
0,HEART,13,270,120,150,1.25
1,LIVER,6,345,145,200,1.38
2,WINE,13,178,71,107,1.51
3,PIMA,8,768,268,500,1.87
4,BREAST TISSUE,9,106,36,70,1.94
5,IRIS,4,150,50,100,2.0
6,MADELON (2),500,1500,500,1000,2.0
7,GLASS,9,214,70,144,2.06
8,YEAST 1,8,1484,429,1055,2.46
9,HEART (2),13,210,60,150,2.5
10,LIVER (2),6,272,72,200,2.78
11,HABERMAN,3,306,81,225,2.78
12,MADELON (3),500,1333,333,1000,3.0
13,WINE (2),13,142,35,107,3.06
14,VEHICLE,18,846,199,647,3.25
15,PIMA (2),8,634,134,500,3.73
16,HEART (3),13,190,40,150,3.75
17,BREAST TISSUE (2),9,88,18,70,3.89
18,IRIS (2),4,125,25,100,4.0
19,GLASS (2),9,179,35,144,4.11
20,LIVER (3),6,248,48,200,4.17
21,WINE (3),13,130,23,107,4.65
22,YEAST 1 (2),8,1269,214,1055,4.93
23,NEW THYROID 1,5,215,35,180,5.14
24,NEW THYROID 2,5,215,35,180,5.14
25,ECOLI,7,336,52,284,5.46
26,EUCALYPTUS,8,642,98,544,5.55
27,HABERMAN (2),3,265,40,225,5.62
28,PIMA (3),8,589,89,500,5.62
29,IRIS (3),4,116,16,100,6.25
30,GLASS (3),9,167,23,144,6.26
31,VEHICLE (2),18,746,99,647,6.54
32,YEAST 1 (3),8,1198,143,1055,7.38
33,HABERMAN (3),3,252,27,225,8.33
34,VEHICLE (3),18,713,66,647,9.8
35,VOWEL,13,988,90,898,9.98
36,NEW THYROID 1 (2),5,197,17,180,10.59
37,NEW THYROID 2 (2),5,197,17,180,10.59
38,ECOLI (2),7,310,26,284,10.92
39,LED,7,443,37,406,10.97
40,EUCALYPTUS (2),8,593,49,544,11.1
41,LIBRAS,90,360,24,336,14.0
42,PAGE BLOCKS 1 3,10,472,28,444,15.86
43,ECOLI (3),7,301,17,284,16.71
44,DERMATOLOGY,34,358,20,338,16.9
45,EUCALYPTUS (3),8,576,32,544,17.0
46,VOWEL (2),13,943,45,898,19.96
47,LED (2),7,424,18,406,22.56
48,VOWEL (3),13,928,30,898,29.93
