Classifier,Metric,NONE,ROS,SMOTE,B-SMOTE,K-SMOTE
LR,Accuracy,3.86 $\pm$ 0.63,3.43 $\pm$ 0.57,2.43 $\pm$ 0.48,3.50 $\pm$ 0.19,\textbf{1.79 $\pm$ 0.41}
LR,F-score,3.71 $\pm$ 0.64,3.71 $\pm$ 0.52,\textbf{2.14 $\pm$ 0.26},3.29 $\pm$ 0.42,\textbf{2.14 $\pm$ 0.55}
LR,G-mean,4.00 $\pm$ 0.65,3.14 $\pm$ 0.51,2.14 $\pm$ 0.34,3.71 $\pm$ 0.29,\textbf{2.00 $\pm$ 0.49}
KNN,Accuracy,2.57 $\pm$ 0.65,3.71 $\pm$ 0.36,2.29 $\pm$ 0.47,4.29 $\pm$ 0.42,\textbf{2.14 $\pm$ 0.34}
KNN,F-score,3.00 $\pm$ 0.53,3.43 $\pm$ 0.48,\textbf{1.71 $\pm$ 0.36},4.14 $\pm$ 0.4,2.71 $\pm$ 0.57
KNN,G-mean,3.86 $\pm$ 0.55,3.00 $\pm$ 0.53,\textbf{1.43 $\pm$ 0.3},3.86 $\pm$ 0.4,2.86 $\pm$ 0.4
DT,Accuracy,\textbf{1.29 $\pm$ 0.18},4.00 $\pm$ 0.38,3.29 $\pm$ 0.29,3.43 $\pm$ 0.65,3.00 $\pm$ 0.53
DT,F-score,\textbf{1.71 $\pm$ 0.57},3.29 $\pm$ 0.29,2.71 $\pm$ 0.42,3.57 $\pm$ 0.61,3.71 $\pm$ 0.52
DT,G-mean,\textbf{1.86 $\pm$ 0.46},3.14 $\pm$ 0.46,2.43 $\pm$ 0.3,4.00 $\pm$ 0.65,3.57 $\pm$ 0.48
GBC,Accuracy,3.29 $\pm$ 0.52,3.57 $\pm$ 0.43,\textbf{1.71 $\pm$ 0.29},4.14 $\pm$ 0.55,2.29 $\pm$ 0.42
GBC,F-score,3.57 $\pm$ 0.53,3.14 $\pm$ 0.4,\textbf{1.71 $\pm$ 0.42},4.14 $\pm$ 0.55,2.43 $\pm$ 0.37
GBC,G-mean,4.43 $\pm$ 0.3,3.00 $\pm$ 0.44,\textbf{1.43 $\pm$ 0.3},4.00 $\pm$ 0.38,2.14 $\pm$ 0.34
RF,Accuracy,3.71 $\pm$ 0.57,3.71 $\pm$ 0.29,2.00 $\pm$ 0.31,3.71 $\pm$ 0.61,\textbf{1.86 $\pm$ 0.4}
RF,F-score,4.57 $\pm$ 0.3,3.14 $\pm$ 0.26,\textbf{1.43 $\pm$ 0.3},4.00 $\pm$ 0.38,1.86 $\pm$ 0.26
RF,G-mean,4.57 $\pm$ 0.43,3.00 $\pm$ 0.31,\textbf{1.43 $\pm$ 0.3},3.43 $\pm$ 0.43,2.57 $\pm$ 0.48
