Labels,A,B,C,D,E,F,G,H,UA,Total
A,20.31995277449823,13.984061393152302,11.649940968122786,2.33530106257379,11.31050767414404,3.6605667060212514,0.0,0.33116883116883117,0.339774621529452,63.59149940968123
B,15.35064935064935,55.69067296340024,33.01534828807556,26.681818181818183,34.69775678866588,4.0041322314049586,1.6706021251475798,0.33530106257378983,0.32695517166701155,171.44628099173553
C,7.667060212514758,18.65466351829988,189.61629279811098,44.96280991735537,13.988193624557262,2.997638724911452,1.0,0.6688311688311689,0.6795744588026439,279.5554899645809
D,0.33116883116883117,1.6706021251475798,19.387249114521843,24.688902007083826,1.6723730814639906,1.6729634002361273,0.6646989374262101,0.0,0.5166362563056778,50.0879574970484
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0.4656679088737516,0.6187852551488915,0.7475824415228728,0.25016793236560486,0.0,0.0,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
