Labels,A,B,C,D,E,F,G,H,UA,Total
A,14.439984258166078,4.1115702479338845,3.322904368358914,0.8874458874458874,3.220582447855175,2.10724124360488,0.2235340417158599,0.33116883116883117,0.5177532876411272,28.644431326249506
B,10.102518693427784,46.00334513970878,13.784533648170012,8.652695789059425,21.099763872491145,1.668240850059032,0.666469893742621,0.0,0.45248354197812696,101.97756788665879
C,13.671782762691853,20.105273514364423,211.3152302243211,42.43191656828021,10.56198347107438,3.550373868555687,1.1135379771743408,0.7805981896890989,0.6962466662728329,303.5306965761511
D,1.6662731208185753,7.7872884691066515,19.026957890594257,40.24852420306966,8.883313656040928,2.7882723337268787,0.7758756395120031,0.2235340417158599,0.49720728963698235,81.4000393545848
E,3.565918929555293,11.661353797717434,4.328217237308147,5.673356946084219,16.90062967335695,1.8858717040535222,0.555883510428965,0.0,0.38139478418280287,44.57123179850453
F,0.222353404171586,0.0,1.2239275875639513,0.7748917748917749,1.0025580480125935,0.33530106257378983,0.0,0.0,0.07823691460055097,3.559031877213696
G,0.0,0.33116883116883117,0.667060212514758,0.0,0.0,0.0,0.0,0.0,0.0,0.9982290436835891
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0.3309820424946314,0.5111482793300975,0.8330680166057215,0.4077340642528701,0.27390426825550135,0.02579238942875307,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
