Labels,A,B,C,D,E,F,G,H,UA,Total
A,14.664698937426211,7.997048406139316,5.6546635182998815,1.3335301062573788,5.9899645808736715,1.6711924439197166,0.0,0.666469893742621,0.4005986602330476,37.9775678866588
B,8.991145218417946,38.6741440377804,11.664698937426211,9.331168831168831,19.677095631641087,1.6623376623376622,0.33530106257378983,0.0,0.42786230401060205,90.33589138134592
C,15.675324675324676,27.329397874852422,219.6629279811098,55.663518299881936,16.999409681227863,5.32939787485242,2.3376623376623376,0.6688311688311689,0.6391599408456484,343.66646989374266
D,1.9976387249114522,8.009445100354192,12.684769775678866,31.011806375442735,7.996458087367178,2.33530106257379,0.33116883116883117,0.0,0.4832974565117422,64.36658795749705
E,2.0047225501770956,7.658795749704841,3.001770956316411,1.3288075560802834,10.67060212514758,1.0059031877213696,0.33116883116883117,0.0,0.409807364352819,26.00177095631641
F,0.33530106257378983,0.33116883116883117,1.0,0.0,0.33530106257378983,0.33116883116883117,0.0,0.0,0.11038961038961038,2.332939787485242
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0.3359141579158877,0.4297127115308934,0.8659638889012391,0.31424045773008497,0.1729821306043603,0.027597402597402596,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
