Labels,A,B,C,D,E,F,G,H,UA,Total
A,15.88823297914207,9.892955529319165,9.440574576938213,2.220188902007084,8.770562770562771,3.2182211727666274,0.11038961038961038,0.666469893742621,0.3233636527422747,50.20759543486816
B,7.991932310114129,34.451593860684774,12.44883903974813,9.327823691460056,19.115702479338843,1.1103896103896105,0.33392365210547026,0.0,0.4068561961206323,84.780204643841
C,11.34081070444707,19.325462416371508,198.30598189689098,45.561786698150335,12.662140889413616,3.10724124360488,2.3376623376623376,0.333530106257379,0.677099050323693,292.97461629279815
D,2.1117670208579296,9.889216843762298,23.138331365604092,34.67001180637544,7.6648957103502555,2.7847304210940576,0.33116883116883117,0.33530106257378983,0.43091620347397414,80.9254230617867
E,4.1147186147186146,13.99547422274695,5.996851633215269,5.44706808343172,11.673160173160175,1.2247146792601338,0.22215663124754034,0.0,0.27882332503891477,42.6741440377804
F,1.9990161353797717,2.3349075167256985,4.004919323101141,1.441951987406533,1.7823691460055098,0.8900039354584809,0.0,0.0,0.07807154966245876,12.453168044077136
G,0.0,0.11038961038961038,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4437229437229437
H,0.222353404171586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222353404171586
PA,0.3637217497730663,0.3827954873409419,0.7818024049545009,0.3514309662901331,0.18921079801566318,0.07058471831199103,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
