Labels,A,B,C,D,E,F,G,H,UA,Total
A,15.66961826052735,4.780794962613144,4.987406532861079,1.5554899645808735,3.107831562377017,2.8841007477371114,0.0,0.33116883116883117,0.4805084873266692,33.31641086186541
B,11.218024399842582,49.66646989374262,15.339236521054703,10.542699724517908,22.111963793781978,2.225304998032271,0.5560802833530106,0.222353404171586,0.4443685800282095,111.88213301849665
C,12.44746162927981,18.00669027941755,211.55391578118852,46.00334513970878,10.557260920897285,3.9960645415190874,1.332939787485242,0.5582447855175128,0.6951117784665429,304.45592286501375
D,1.7758756395120032,7.3323494687131054,17.68870523415978,37.78295946477764,8.994883903974813,2.453561589925226,0.8898071625344351,0.2235340417158599,0.49163137055964184,77.14167650531287
E,2.447461629279811,10.213695395513577,3.767611176702086,2.784336875245966,16.896890987800077,0.6645021645021645,0.5564738292011019,0.0,0.4620552400820675,37.33097205824478
F,0.11038961038961038,0.0,0.33195592286501374,0.0,0.0,0.11176702085792994,0.0,0.0,0.11176702085792994,0.5541125541125541
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,0.35869488798087684,0.5518496654860291,0.8339939810793503,0.3829431501888915,0.2738731550327147,0.00859746314291769,0.0,0.0,,
Total,43.66883116883117,90.0,253.66883116883116,98.66883116883118,61.66883116883117,12.335301062573789,3.3353010625737896,1.3353010625737898,,564.681227863046
