Classifier,Metric,NONE,ROS,SMOTE,B-SMOTE,ADASYN,G-SMOTE
LR,Accuracy,0.57,0.50,0.50,0.53,0.48,0.51
LR,F-score,0.30,0.29,0.29,0.30,0.28,0.31
LR,G-mean,0.51,0.53,0.52,0.53,0.52,0.57
KNN,Accuracy,0.56,0.45,0.43,0.49,0.42,0.56
KNN,F-score,0.27,0.24,0.25,0.26,0.24,0.28
KNN,G-mean,0.50,0.48,0.49,0.50,0.48,0.50
DT,Accuracy,0.51,0.43,0.42,0.47,0.42,0.48
DT,F-score,0.24,0.24,0.25,0.27,0.25,0.27
DT,G-mean,0.49,0.48,0.49,0.51,0.49,0.52
GBC,Accuracy,0.58,0.56,0.56,0.57,0.55,0.57
GBC,F-score,0.31,0.31,0.31,0.31,0.31,0.33
GBC,G-mean,0.53,0.54,0.54,0.55,0.54,0.56
RF,Accuracy,0.59,0.58,0.56,0.57,0.55,0.58
RF,F-score,0.31,0.31,0.32,0.31,0.31,0.34
RF,G-mean,0.53,0.54,0.55,0.55,0.54,0.57
