Classifier,Metric,NONE,ROS,SMOTE,B-SMOTE,ADASYN,G-SMOTE
LR,Accuracy,\textbf{0.574},0.499,0.495,0.532,0.480,0.506
LR,F-score,0.296,0.293,0.288,0.299,0.282,\textbf{0.313}
LR,G-mean,0.513,0.529,0.525,0.530,0.518,\textbf{0.566}
KNN,Accuracy,\textbf{0.558},0.446,0.426,0.491,0.419,0.557
KNN,F-score,0.274,0.243,0.248,0.263,0.244,\textbf{0.280}
KNN,G-mean,0.496,0.478,0.487,0.500,0.483,\textbf{0.504}
DT,Accuracy,\textbf{0.514},0.431,0.419,0.474,0.417,0.479
DT,F-score,0.243,0.243,0.250,\textbf{0.272},0.250,0.267
DT,G-mean,0.488,0.483,0.490,0.508,0.492,\textbf{0.519}
GBC,Accuracy,\textbf{0.584},0.560,0.560,0.566,0.551,0.574
GBC,F-score,0.313,0.310,0.313,0.315,0.306,\textbf{0.329}
GBC,G-mean,0.532,0.537,0.540,0.545,0.537,\textbf{0.559}
RF,Accuracy,\textbf{0.587},0.576,0.557,0.571,0.552,0.579
RF,F-score,0.306,0.313,0.317,0.315,0.314,\textbf{0.341}
RF,G-mean,0.528,0.542,0.545,0.550,0.542,\textbf{0.572}
