0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,target
579,813,1029,1875,2468,1698,560,817,1008,1964,2531,1772,888,1257,1540,2291,3191,2721,1184,1666,2041,2755,3924,3547,438,724,625,3084,2035,1227,224,427,261,4503,1435,552,259,481,306,4162,1557,636,368,660,662,3221,1901,990,2
379,673,804,1910,2020,1427,478,751,848,2237,2251,1608,695,1227,1427,3396,2765,2137,513,915,1014,3262,2363,1599,516,880,1023,3128,2364,1655,508,859,955,2992,2228,1472,450,599,660,1674,1459,987,387,709,855,2129,2249,1672,2
460,743,921,2688,2034,1544,537,858,991,2339,2162,1700,507,822,959,2237,1986,1535,756,1092,1300,2981,2858,2267,800,1135,1400,3072,2970,2315,1103,1367,1586,3325,3416,2615,631,952,1222,2570,2564,2015,588,832,1075,2530,2441,1910,0
422,512,575,2028,1865,1156,468,573,612,2150,2056,1255,442,731,760,2575,2388,1488,444,650,644,2703,2391,1374,436,698,738,2568,2605,1562,1195,1210,1262,2598,2307,1543,532,618,689,2033,2339,1393,4599,4664,4839,5547,5143,4320,3
121,207,196,1091,728,383,182,323,315,1389,1050,623,370,619,648,2155,1755,1099,330,621,664,2269,1914,1152,366,609,691,2151,1988,1224,348,573,649,2053,1922,1154,327,548,615,1839,1744,1026,235,401,399,1534,1257,716,0
113,259,252,2621,1070,491,170,325,331,2647,1253,635,234,428,462,2424,1495,832,306,531,630,2440,1759,993,358,572,730,2486,1938,1112,328,571,735,2570,1912,1044,317,551,693,2481,1730,929,265,448,498,2401,1407,709,0
248,365,447,1422,1258,747,299,454,562,1492,1498,916,444,689,801,2109,2221,1466,448,738,857,2244,2360,1513,488,735,877,2350,2366,1498,462,802,924,2321,2310,1401,314,599,695,2140,1859,1105,339,514,544,1941,1449,811,0
155,305,339,1593,1196,647,199,363,407,1675,1341,756,322,627,709,2038,1905,1115,358,610,701,2113,1939,1138,375,707,775,2283,2106,1257,337,676,785,2282,1883,1076,287,528,578,2022,1629,889,212,413,414,1931,1192,609,0
94,206,231,2299,873,383,109,228,274,2258,1014,490,279,537,597,2386,1355,817,216,392,421,2481,1295,668,196,365,425,2508,1345,697,186,378,434,2695,1286,633,195,392,412,2797,1137,513,154,324,296,2577,967,430,0
217,332,357,2181,1261,654,263,355,402,2095,1328,721,300,552,578,2263,1566,919,264,483,450,2737,1485,800,216,509,503,2619,1640,961,257,497,556,2591,1459,777,187,425,428,2635,1352,687,232,477,469,2420,1298,684,0
