Ratio,Classifier,Metric,NONE,RANDOM,SMOTE,B-SMOTE,G-SMOTESD,BENCHMARK
50,LR,ACCURACY,0.91 $\pm$ 0.03,0.91 $\pm$ 0.03,0.91 $\pm$ 0.02,0.91 $\pm$ 0.03,\textbf{0.92} $\pm$ 0.02,0.92 $\pm$ 0.02
50,LR,G-MEAN,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,\textbf{0.89} $\pm$ 0.04,\textbf{0.89} $\pm$ 0.04,\textbf{0.89} $\pm$ 0.04,0.90 $\pm$ 0.04
50,KNN,ACCURACY,0.88 $\pm$ 0.03,0.88 $\pm$ 0.03,\textbf{0.89} $\pm$ 0.03,0.88 $\pm$ 0.03,\textbf{0.89} $\pm$ 0.03,0.90 $\pm$ 0.03
50,KNN,G-MEAN,0.84 $\pm$ 0.04,0.85 $\pm$ 0.04,\textbf{0.86} $\pm$ 0.04,0.85 $\pm$ 0.04,\textbf{0.86} $\pm$ 0.04,0.87 $\pm$ 0.04
50,DT,ACCURACY,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,0.88 $\pm$ 0.04,\textbf{0.90} $\pm$ 0.03,0.90 $\pm$ 0.03
50,DT,G-MEAN,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,\textbf{0.89} $\pm$ 0.04,0.89 $\pm$ 0.03
50,GBC,ACCURACY,0.91 $\pm$ 0.04,0.92 $\pm$ 0.03,0.92 $\pm$ 0.03,0.91 $\pm$ 0.04,\textbf{0.93} $\pm$ 0.03,0.94 $\pm$ 0.02
50,GBC,G-MEAN,0.90 $\pm$ 0.04,0.90 $\pm$ 0.04,0.91 $\pm$ 0.03,0.90 $\pm$ 0.04,\textbf{0.92} $\pm$ 0.03,0.93 $\pm$ 0.03
75,LR,ACCURACY,\textbf{0.90} $\pm$ 0.03,0.89 $\pm$ 0.03,0.89 $\pm$ 0.03,0.89 $\pm$ 0.03,\textbf{0.90} $\pm$ 0.03,0.92 $\pm$ 0.02
75,LR,G-MEAN,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,\textbf{0.87} $\pm$ 0.04,\textbf{0.87} $\pm$ 0.04,\textbf{0.87} $\pm$ 0.04,0.90 $\pm$ 0.04
