Ratio,Classifier,Metric,Difference
50,LR,ACCURACY,0.52 $\pm$ 0.27
50,LR,G-MEAN,0.36 $\pm$ 0.14
50,KNN,ACCURACY,1.30 $\pm$ 0.45
50,KNN,G-MEAN,2.48 $\pm$ 0.96
50,DT,ACCURACY,2.58 $\pm$ 1.02
50,DT,G-MEAN,3.72 $\pm$ 1.61
50,GBC,ACCURACY,2.75 $\pm$ 1.42
50,GBC,G-MEAN,2.90 $\pm$ 1.46
75,LR,ACCURACY,0.40 $\pm$ 0.15
75,LR,G-MEAN,1.05 $\pm$ 0.58
75,KNN,ACCURACY,1.93 $\pm$ 0.50
75,KNN,G-MEAN,7.27 $\pm$ 4.51
75,DT,ACCURACY,4.13 $\pm$ 1.88
75,DT,G-MEAN,4.67 $\pm$ 1.97
75,GBC,ACCURACY,4.39 $\pm$ 2.51
75,GBC,G-MEAN,5.67 $\pm$ 3.00
90,LR,ACCURACY,1.41 $\pm$ 0.52
90,LR,G-MEAN,3.26 $\pm$ 1.58
90,KNN,ACCURACY,2.95 $\pm$ 1.21
90,KNN,G-MEAN,33.43 $\pm$ 26.93
90,DT,ACCURACY,4.47 $\pm$ 1.46
90,DT,G-MEAN,4.32 $\pm$ 1.88
90,GBC,ACCURACY,5.17 $\pm$ 2.48
90,GBC,G-MEAN,5.64 $\pm$ 2.35
95,LR,ACCURACY,1.40 $\pm$ 0.63
95,LR,G-MEAN,1.23 $\pm$ 3.71
95,KNN,ACCURACY,2.94 $\pm$ 1.28
95,KNN,G-MEAN,23.66 $\pm$ 20.31
95,DT,ACCURACY,5.00 $\pm$ 2.04
95,DT,G-MEAN,5.18 $\pm$ 1.79
95,GBC,ACCURACY,4.11 $\pm$ 1.96
95,GBC,G-MEAN,5.25 $\pm$ 2.43
